 50435/2000000: episode: 68, duration: 15.583s, episode steps: 687, steps per second:  44, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.006000, mae: 0.026522, mean_q: 0.024521, mean_eps: 0.954804
   82993/2000000: episode: 117, duration: 9.414s, episode steps: 519, steps per second:  55, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.312 [0.000, 5.000],  loss: 0.007193, mae: 0.123195, mean_q: 0.156457, mean_eps: 0.925539
   83609/2000000: episode: 118, duration: 13.805s, episode steps: 616, steps per second:  45, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.640 [0.000, 5.000],  loss: 0.007347, mae: 0.120288, mean_q: 0.153758, mean_eps: 0.925028
   84333/2000000: episode: 119, duration: 13.141s, episode steps: 724, steps per second:  55, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.580 [0.000, 5.000],  loss: 0.006188, mae: 0.121101, mean_q: 0.154328, mean_eps: 0.924425
   84954/2000000: episode: 120, duration: 12.020s, episode steps: 621, steps per second:  52, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.007238, mae: 0.122983, mean_q: 0.156786, mean_eps: 0.923820
   85960/2000000: episode: 121, duration: 21.021s, episode steps: 1006, steps per second:  48, episode reward: 20.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.531 [0.000, 5.000],  loss: 0.006726, mae: 0.139326, mean_q: 0.176923, mean_eps: 0.923090
   86361/2000000: episode: 122, duration: 7.447s, episode steps: 401, steps per second:  54, episode reward:  7.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.322 [0.000, 5.000],  loss: 0.006430, mae: 0.136887, mean_q: 0.176678, mean_eps: 0.922456
   87090/2000000: episode: 123, duration: 15.140s, episode steps: 729, steps per second:  48, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: 0.007152, mae: 0.141432, mean_q: 0.180580, mean_eps: 0.921947
   87489/2000000: episode: 124, duration: 8.264s, episode steps: 399, steps per second:  48, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.556 [0.000, 5.000],  loss: 0.006676, mae: 0.138976, mean_q: 0.175666, mean_eps: 0.921439
   88265/2000000: episode: 125, duration: 15.747s, episode steps: 776, steps per second:  49, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.423 [0.000, 5.000],  loss: 0.006378, mae: 0.135973, mean_q: 0.172067, mean_eps: 0.920910
   88937/2000000: episode: 126, duration: 13.944s, episode steps: 672, steps per second:  48, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.591 [0.000, 5.000],  loss: 0.006521, mae: 0.140207, mean_q: 0.177199, mean_eps: 0.920258
   89470/2000000: episode: 127, duration: 10.664s, episode steps: 533, steps per second:  50, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.516 [0.000, 5.000],  loss: 0.005965, mae: 0.134773, mean_q: 0.169510, mean_eps: 0.919716
   90052/2000000: episode: 128, duration: 11.565s, episode steps: 582, steps per second:  50, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.006627, mae: 0.138267, mean_q: 0.174646, mean_eps: 0.919216
   90554/2000000: episode: 129, duration: 9.378s, episode steps: 502, steps per second:  54, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.510 [0.000, 5.000],  loss: 0.008538, mae: 0.158120, mean_q: 0.201453, mean_eps: 0.918728
   91367/2000000: episode: 130, duration: 16.723s, episode steps: 813, steps per second:  49, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.538 [0.000, 5.000],  loss: 0.006489, mae: 0.153864, mean_q: 0.194516, mean_eps: 0.918136
   92265/2000000: episode: 131, duration: 15.650s, episode steps: 898, steps per second:  57, episode reward: 13.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.370 [0.000, 5.000],  loss: 0.005473, mae: 0.149629, mean_q: 0.192064, mean_eps: 0.917366
   92911/2000000: episode: 132, duration: 11.219s, episode steps: 646, steps per second:  58, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.426 [0.000, 5.000],  loss: 0.006630, mae: 0.150048, mean_q: 0.190773, mean_eps: 0.916671
   94055/2000000: episode: 133, duration: 20.143s, episode steps: 1144, steps per second:  57, episode reward: 21.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.006847, mae: 0.151898, mean_q: 0.192009, mean_eps: 0.915866
   95113/2000000: episode: 134, duration: 18.449s, episode steps: 1058, steps per second:  57, episode reward: 13.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.562 [0.000, 5.000],  loss: 0.007224, mae: 0.154343, mean_q: 0.195492, mean_eps: 0.914874
   95851/2000000: episode: 135, duration: 12.353s, episode steps: 738, steps per second:  60, episode reward: 15.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.005340, mae: 0.160561, mean_q: 0.203720, mean_eps: 0.914066
   96451/2000000: episode: 136, duration: 9.754s, episode steps: 600, steps per second:  62, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.008019, mae: 0.167858, mean_q: 0.212808, mean_eps: 0.913465
   96980/2000000: episode: 137, duration: 9.309s, episode steps: 529, steps per second:  57, episode reward:  2.000, mean reward:  0.004 [ 0.000,  1.000], mean action: 2.448 [0.000, 5.000],  loss: 0.007244, mae: 0.164586, mean_q: 0.208624, mean_eps: 0.912957
   97689/2000000: episode: 138, duration: 12.358s, episode steps: 709, steps per second:  57, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.580 [0.000, 5.000],  loss: 0.006344, mae: 0.163569, mean_q: 0.207965, mean_eps: 0.912399
   98674/2000000: episode: 139, duration: 17.120s, episode steps: 985, steps per second:  58, episode reward: 16.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.534 [0.000, 5.000],  loss: 0.006440, mae: 0.160717, mean_q: 0.203540, mean_eps: 0.911636
   99335/2000000: episode: 140, duration: 11.923s, episode steps: 661, steps per second:  55, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.552 [0.000, 5.000],  loss: 0.007025, mae: 0.163642, mean_q: 0.206870, mean_eps: 0.910896
   99966/2000000: episode: 141, duration: 10.926s, episode steps: 631, steps per second:  58, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.303 [0.000, 5.000],  loss: 0.007300, mae: 0.158916, mean_q: 0.201265, mean_eps: 0.910315
  100605/2000000: episode: 142, duration: 11.321s, episode steps: 639, steps per second:  56, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.463 [0.000, 5.000],  loss: 0.005947, mae: 0.174637, mean_q: 0.221067, mean_eps: 0.909743
  100993/2000000: episode: 143, duration: 7.228s, episode steps: 388, steps per second:  54, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: 0.007075, mae: 0.174765, mean_q: 0.222164, mean_eps: 0.909280
  101601/2000000: episode: 144, duration: 10.638s, episode steps: 608, steps per second:  57, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.324 [0.000, 5.000],  loss: 0.008412, mae: 0.177855, mean_q: 0.224676, mean_eps: 0.908832
  102140/2000000: episode: 145, duration: 10.004s, episode steps: 539, steps per second:  54, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.006580, mae: 0.176071, mean_q: 0.222496, mean_eps: 0.908317
  102667/2000000: episode: 146, duration: 9.959s, episode steps: 527, steps per second:  53, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.518 [0.000, 5.000],  loss: 0.006274, mae: 0.177770, mean_q: 0.224021, mean_eps: 0.907838
  103039/2000000: episode: 147, duration: 7.345s, episode steps: 372, steps per second:  51, episode reward:  6.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.511 [0.000, 5.000],  loss: 0.007377, mae: 0.176141, mean_q: 0.221536, mean_eps: 0.907433
  103555/2000000: episode: 148, duration: 11.019s, episode steps: 516, steps per second:  47, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.653 [0.000, 5.000],  loss: 0.005881, mae: 0.174265, mean_q: 0.219503, mean_eps: 0.907034
  104974/2000000: episode: 149, duration: 30.249s, episode steps: 1419, steps per second:  47, episode reward: 21.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.402 [0.000, 5.000],  loss: 0.006636, mae: 0.175835, mean_q: 0.219505, mean_eps: 0.906162
  105600/2000000: episode: 150, duration: 11.287s, episode steps: 626, steps per second:  55, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.605 [0.000, 5.000],  loss: 0.007704, mae: 0.197726, mean_q: 0.248173, mean_eps: 0.905243
  106757/2000000: episode: 151, duration: 21.623s, episode steps: 1157, steps per second:  54, episode reward: 11.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.655 [0.000, 5.000],  loss: 0.006588, mae: 0.195702, mean_q: 0.246428, mean_eps: 0.904440
  107514/2000000: episode: 152, duration: 13.766s, episode steps: 757, steps per second:  55, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.532 [0.000, 5.000],  loss: 0.007012, mae: 0.198470, mean_q: 0.249469, mean_eps: 0.903578
  108146/2000000: episode: 153, duration: 11.790s, episode steps: 632, steps per second:  54, episode reward: 12.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.411 [0.000, 5.000],  loss: 0.008085, mae: 0.195889, mean_q: 0.245884, mean_eps: 0.902953
  108722/2000000: episode: 154, duration: 10.176s, episode steps: 576, steps per second:  57, episode reward:  9.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.347 [0.000, 5.000],  loss: 0.006921, mae: 0.188990, mean_q: 0.239830, mean_eps: 0.902409
  109354/2000000: episode: 155, duration: 11.425s, episode steps: 632, steps per second:  55, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.491 [0.000, 5.000],  loss: 0.007137, mae: 0.193156, mean_q: 0.244134, mean_eps: 0.901866
  110165/2000000: episode: 156, duration: 15.677s, episode steps: 811, steps per second:  52, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.547 [0.000, 5.000],  loss: 0.006644, mae: 0.195546, mean_q: 0.245219, mean_eps: 0.901216
  110624/2000000: episode: 157, duration: 9.116s, episode steps: 459, steps per second:  50, episode reward:  5.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.608 [0.000, 5.000],  loss: 0.006731, mae: 0.212954, mean_q: 0.266577, mean_eps: 0.900645
  112175/2000000: episode: 158, duration: 28.291s, episode steps: 1551, steps per second:  55, episode reward: 15.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.472 [0.000, 5.000],  loss: 0.007594, mae: 0.211919, mean_q: 0.267016, mean_eps: 0.899742
  113252/2000000: episode: 159, duration: 19.495s, episode steps: 1077, steps per second:  55, episode reward: 17.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.593 [0.000, 5.000],  loss: 0.006880, mae: 0.209286, mean_q: 0.263170, mean_eps: 0.898559
  113905/2000000: episode: 160, duration: 11.885s, episode steps: 653, steps per second:  55, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.472 [0.000, 5.000],  loss: 0.007000, mae: 0.212153, mean_q: 0.265237, mean_eps: 0.897780
  114813/2000000: episode: 161, duration: 15.829s, episode steps: 908, steps per second:  57, episode reward: 13.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.541 [0.000, 5.000],  loss: 0.007582, mae: 0.210961, mean_q: 0.264153, mean_eps: 0.897076
  115405/2000000: episode: 162, duration: 9.744s, episode steps: 592, steps per second:  61, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.551 [0.000, 5.000],  loss: 0.007654, mae: 0.218088, mean_q: 0.275547, mean_eps: 0.896401
  116185/2000000: episode: 163, duration: 12.842s, episode steps: 780, steps per second:  61, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.526 [0.000, 5.000],  loss: 0.006438, mae: 0.215174, mean_q: 0.270227, mean_eps: 0.895784
  116672/2000000: episode: 164, duration: 8.226s, episode steps: 487, steps per second:  59, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.690 [0.000, 5.000],  loss: 0.006868, mae: 0.218403, mean_q: 0.275730, mean_eps: 0.895215
  117380/2000000: episode: 165, duration: 13.164s, episode steps: 708, steps per second:  54, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.417 [0.000, 5.000],  loss: 0.006332, mae: 0.218076, mean_q: 0.273615, mean_eps: 0.894678
  118454/2000000: episode: 166, duration: 19.306s, episode steps: 1074, steps per second:  56, episode reward: 16.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.007232, mae: 0.216046, mean_q: 0.270700, mean_eps: 0.893876
  119504/2000000: episode: 167, duration: 17.764s, episode steps: 1050, steps per second:  59, episode reward: 18.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.546 [0.000, 5.000],  loss: 0.007192, mae: 0.218430, mean_q: 0.271988, mean_eps: 0.892920
  120370/2000000: episode: 168, duration: 14.718s, episode steps: 866, steps per second:  59, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.498 [0.000, 5.000],  loss: 0.007019, mae: 0.225085, mean_q: 0.281738, mean_eps: 0.892058
  120986/2000000: episode: 169, duration: 11.141s, episode steps: 616, steps per second:  55, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.365 [0.000, 5.000],  loss: 0.006157, mae: 0.228869, mean_q: 0.287048, mean_eps: 0.891390
  121496/2000000: episode: 170, duration: 9.409s, episode steps: 510, steps per second:  54, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.465 [0.000, 5.000],  loss: 0.006482, mae: 0.228954, mean_q: 0.286173, mean_eps: 0.890884
  122181/2000000: episode: 171, duration: 12.038s, episode steps: 685, steps per second:  57, episode reward: 13.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.537 [0.000, 5.000],  loss: 0.005661, mae: 0.227235, mean_q: 0.284044, mean_eps: 0.890346
