25567/600000: episode: 36, duration: 13.727s, episode steps: 610, steps per second:  44, episode reward:  9.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.430 [0.000, 5.000],  loss: 0.007192, mae: 0.048469, mean_q: 0.077000, mean_eps: 0.949432
  34219/600000: episode: 50, duration: 13.917s, episode steps: 540, steps per second:  39, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.269 [0.000, 5.000],  loss: 0.005836, mae: 0.074384, mean_q: 0.099265, mean_eps: 0.932104
  34803/600000: episode: 51, duration: 18.242s, episode steps: 584, steps per second:  32, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.601 [0.000, 5.000],  loss: 0.007948, mae: 0.078537, mean_q: 0.104225, mean_eps: 0.930980
  35183/600000: episode: 52, duration: 10.296s, episode steps: 380, steps per second:  37, episode reward:  6.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.006342, mae: 0.089967, mean_q: 0.120467, mean_eps: 0.930016
  35975/600000: episode: 53, duration: 20.590s, episode steps: 792, steps per second:  38, episode reward: 13.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.413 [0.000, 5.000],  loss: 0.006426, mae: 0.110274, mean_q: 0.145471, mean_eps: 0.928844
  37371/600000: episode: 54, duration: 36.203s, episode steps: 1396, steps per second:  39, episode reward: 26.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.007521, mae: 0.113767, mean_q: 0.149588, mean_eps: 0.926656
  38097/600000: episode: 55, duration: 15.829s, episode steps: 726, steps per second:  46, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.584 [0.000, 5.000],  loss: 0.006473, mae: 0.111719, mean_q: 0.151312, mean_eps: 0.924532
  38574/600000: episode: 56, duration: 10.950s, episode steps: 477, steps per second:  44, episode reward: 10.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.746 [0.000, 5.000],  loss: 0.006404, mae: 0.110462, mean_q: 0.146448, mean_eps: 0.923328
  39370/600000: episode: 57, duration: 21.090s, episode steps: 796, steps per second:  38, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.647 [0.000, 5.000],  loss: 0.008212, mae: 0.114756, mean_q: 0.148769, mean_eps: 0.922056
  40450/600000: episode: 58, duration: 27.832s, episode steps: 1080, steps per second:  39, episode reward: 17.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.584 [0.000, 5.000],  loss: 0.006724, mae: 0.118900, mean_q: 0.155975, mean_eps: 0.920180
  41236/600000: episode: 59, duration: 22.322s, episode steps: 786, steps per second:  35, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.585 [0.000, 5.000],  loss: 0.006970, mae: 0.131535, mean_q: 0.175760, mean_eps: 0.918316
  41963/600000: episode: 60, duration: 19.634s, episode steps: 727, steps per second:  37, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.534 [0.000, 5.000],  loss: 0.007652, mae: 0.134841, mean_q: 0.176893, mean_eps: 0.916804
  42585/600000: episode: 61, duration: 16.734s, episode steps: 622, steps per second:  37, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.569 [0.000, 5.000],  loss: 0.006968, mae: 0.131612, mean_q: 0.174208, mean_eps: 0.915452
  43608/600000: episode: 62, duration: 30.134s, episode steps: 1023, steps per second:  34, episode reward: 15.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.559 [0.000, 5.000],  loss: 0.006172, mae: 0.130007, mean_q: 0.169714, mean_eps: 0.913808
  44246/600000: episode: 63, duration: 21.486s, episode steps: 638, steps per second:  30, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.484 [0.000, 5.000],  loss: 0.006736, mae: 0.132125, mean_q: 0.173226, mean_eps: 0.912148
  44919/600000: episode: 64, duration: 17.417s, episode steps: 673, steps per second:  39, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.547 [0.000, 5.000],  loss: 0.006570, mae: 0.130996, mean_q: 0.171134, mean_eps: 0.910836
  46020/600000: episode: 65, duration: 32.133s, episode steps: 1101, steps per second:  34, episode reward: 19.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.561 [0.000, 5.000],  loss: 0.006454, mae: 0.157954, mean_q: 0.205746, mean_eps: 0.909064
  47064/600000: episode: 66, duration: 32.207s, episode steps: 1044, steps per second:  32, episode reward: 15.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.507 [0.000, 5.000],  loss: 0.007594, mae: 0.163424, mean_q: 0.213335, mean_eps: 0.906920
  47792/600000: episode: 67, duration: 23.480s, episode steps: 728, steps per second:  31, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.437 [0.000, 5.000],  loss: 0.006755, mae: 0.160794, mean_q: 0.208098, mean_eps: 0.905148
  48392/600000: episode: 68, duration: 15.743s, episode steps: 600, steps per second:  38, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.006222, mae: 0.160704, mean_q: 0.209015, mean_eps: 0.903820
  48984/600000: episode: 69, duration: 15.892s, episode steps: 592, steps per second:  37, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.005026, mae: 0.156270, mean_q: 0.203037, mean_eps: 0.902628
  49560/600000: episode: 70, duration: 15.775s, episode steps: 576, steps per second:  37, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.644 [0.000, 5.000],  loss: 0.006922, mae: 0.162143, mean_q: 0.209692, mean_eps: 0.901460
  50207/600000: episode: 71, duration: 15.952s, episode steps: 647, steps per second:  41, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.484 [0.000, 5.000],  loss: 0.006051, mae: 0.168191, mean_q: 0.219356, mean_eps: 0.900236
  51494/600000: episode: 72, duration: 30.365s, episode steps: 1287, steps per second:  42, episode reward: 10.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.465 [0.000, 5.000],  loss: 0.006819, mae: 0.190966, mean_q: 0.245931, mean_eps: 0.898300
  51895/600000: episode: 73, duration: 9.773s, episode steps: 401, steps per second:  41, episode reward:  7.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.339 [0.000, 5.000],  loss: 0.005939, mae: 0.190177, mean_q: 0.244123, mean_eps: 0.896612
  52387/600000: episode: 74, duration: 12.772s, episode steps: 492, steps per second:  39, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.006883, mae: 0.194198, mean_q: 0.250056, mean_eps: 0.895720
  53009/600000: episode: 75, duration: 17.189s, episode steps: 622, steps per second:  36, episode reward: 11.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.622 [0.000, 5.000],  loss: 0.006422, mae: 0.191291, mean_q: 0.243683, mean_eps: 0.894604
  53701/600000: episode: 76, duration: 14.752s, episode steps: 692, steps per second:  47, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.647 [0.000, 5.000],  loss: 0.006007, mae: 0.189311, mean_q: 0.240726, mean_eps: 0.893288
  54729/600000: episode: 77, duration: 25.632s, episode steps: 1028, steps per second:  40, episode reward: 11.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.525 [0.000, 5.000],  loss: 0.005958, mae: 0.189161, mean_q: 0.241298, mean_eps: 0.891568
  55487/600000: episode: 78, duration: 19.561s, episode steps: 758, steps per second:  39, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.005737, mae: 0.197097, mean_q: 0.251661, mean_eps: 0.889784
  55844/600000: episode: 79, duration: 7.915s, episode steps: 357, steps per second:  45, episode reward:  7.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.006172, mae: 0.204050, mean_q: 0.261521, mean_eps: 0.888672
  56623/600000: episode: 80, duration: 19.847s, episode steps: 779, steps per second:  39, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.549 [0.000, 5.000],  loss: 0.006014, mae: 0.203377, mean_q: 0.257978, mean_eps: 0.887536
  57612/600000: episode: 81, duration: 25.297s, episode steps: 989, steps per second:  39, episode reward: 12.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.513 [0.000, 5.000],  loss: 0.007415, mae: 0.206658, mean_q: 0.261820, mean_eps: 0.885768
  58399/600000: episode: 82, duration: 21.813s, episode steps: 787, steps per second:  36, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.573 [0.000, 5.000],  loss: 0.006495, mae: 0.204701, mean_q: 0.260648, mean_eps: 0.883992
  59185/600000: episode: 83, duration: 21.610s, episode steps: 786, steps per second:  36, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.626 [0.000, 5.000],  loss: 0.005564, mae: 0.202149, mean_q: 0.257850, mean_eps: 0.882416
  59750/600000: episode: 84, duration: 15.083s, episode steps: 565, steps per second:  37, episode reward:  3.000, mean reward:  0.005 [ 0.000,  1.000], mean action: 2.460 [0.000, 5.000],  loss: 0.005462, mae: 0.201838, mean_q: 0.256853, mean_eps: 0.881064
  60431/600000: episode: 85, duration: 15.505s, episode steps: 681, steps per second:  44, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.568 [0.000, 5.000],  loss: 0.006333, mae: 0.227351, mean_q: 0.288803, mean_eps: 0.879820
  61070/600000: episode: 86, duration: 15.871s, episode steps: 639, steps per second:  40, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.707 [0.000, 5.000],  loss: 0.007498, mae: 0.239019, mean_q: 0.303110, mean_eps: 0.878500
  61443/600000: episode: 87, duration: 9.929s, episode steps: 373, steps per second:  38, episode reward:  8.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.550 [0.000, 5.000],  loss: 0.008774, mae: 0.245934, mean_q: 0.311243, mean_eps: 0.877488
  62013/600000: episode: 88, duration: 15.923s, episode steps: 570, steps per second:  36, episode reward: 10.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: 0.008773, mae: 0.243769, mean_q: 0.310426, mean_eps: 0.876544
  62844/600000: episode: 89, duration: 21.352s, episode steps: 831, steps per second:  39, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.627 [0.000, 5.000],  loss: 0.006755, mae: 0.242089, mean_q: 0.307169, mean_eps: 0.875144
  63493/600000: episode: 90, duration: 16.632s, episode steps: 649, steps per second:  39, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.005574, mae: 0.234456, mean_q: 0.296861, mean_eps: 0.873664
  64291/600000: episode: 91, duration: 22.530s, episode steps: 798, steps per second:  35, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.005337, mae: 0.237148, mean_q: 0.299596, mean_eps: 0.872216
  64943/600000: episode: 92, duration: 15.463s, episode steps: 652, steps per second:  42, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.647 [0.000, 5.000],  loss: 0.005877, mae: 0.240148, mean_q: 0.303061, mean_eps: 0.870768
  65522/600000: episode: 93, duration: 13.751s, episode steps: 579, steps per second:  42, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.363 [0.000, 5.000],  loss: 0.006437, mae: 0.263515, mean_q: 0.332635, mean_eps: 0.869536
  65911/600000: episode: 94, duration: 9.175s, episode steps: 389, steps per second:  42, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.535 [0.000, 5.000],  loss: 0.009093, mae: 0.272118, mean_q: 0.344344, mean_eps: 0.868568
  66566/600000: episode: 95, duration: 16.297s, episode steps: 655, steps per second:  40, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.420 [0.000, 5.000],  loss: 0.007550, mae: 0.270842, mean_q: 0.341922, mean_eps: 0.867524
  67497/600000: episode: 96, duration: 20.165s, episode steps: 931, steps per second:  46, episode reward: 11.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.517 [0.000, 5.000],  loss: 0.006693, mae: 0.269822, mean_q: 0.341119, mean_eps: 0.865936
  68221/600000: episode: 97, duration: 15.915s, episode steps: 724, steps per second:  45, episode reward: 13.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.478 [0.000, 5.000],  loss: 0.007568, mae: 0.271672, mean_q: 0.342755, mean_eps: 0.864280
  68889/600000: episode: 98, duration: 18.670s, episode steps: 668, steps per second:  36, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.566 [0.000, 5.000],  loss: 0.006546, mae: 0.271795, mean_q: 0.345114, mean_eps: 0.862888
  69507/600000: episode: 99, duration: 16.837s, episode steps: 618, steps per second:  37, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.471 [0.000, 5.000],  loss: 0.006426, mae: 0.269137, mean_q: 0.341428, mean_eps: 0.861604
  70144/600000: episode: 100, duration: 15.559s, episode steps: 637, steps per second:  41, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.006600, mae: 0.274605, mean_q: 0.346263, mean_eps: 0.860352
  70536/600000: episode: 101, duration: 9.743s, episode steps: 392, steps per second:  40, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.005568, mae: 0.290448, mean_q: 0.364694, mean_eps: 0.859324
  71176/600000: episode: 102, duration: 18.484s, episode steps: 640, steps per second:  35, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.430 [0.000, 5.000],  loss: 0.006424, mae: 0.294697, mean_q: 0.369030, mean_eps: 0.858292
  71954/600000: episode: 103, duration: 21.862s, episode steps: 778, steps per second:  36, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.473 [0.000, 5.000],  loss: 0.008047, mae: 0.300087, mean_q: 0.376550, mean_eps: 0.856872
  72351/600000: episode: 104, duration: 11.098s, episode steps: 397, steps per second:  36, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.574 [0.000, 5.000],  loss: 0.006211, mae: 0.295424, mean_q: 0.371349, mean_eps: 0.855696
  73017/600000: episode: 105, duration: 18.304s, episode steps: 666, steps per second:  36, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.356 [0.000, 5.000],  loss: 0.007518, mae: 0.297126, mean_q: 0.372715, mean_eps: 0.854632
  73843/600000: episode: 106, duration: 20.407s, episode steps: 826, steps per second:  40, episode reward: 15.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.007573, mae: 0.298654, mean_q: 0.375766, mean_eps: 0.853140
  74516/600000: episode: 107, duration: 14.752s, episode steps: 673, steps per second:  46, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.406 [0.000, 5.000],  loss: 0.006138, mae: 0.295033, mean_q: 0.370255, mean_eps: 0.851644
  75241/600000: episode: 108, duration: 17.947s, episode steps: 725, steps per second:  40, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.007822, mae: 0.315592, mean_q: 0.395931, mean_eps: 0.850244
  75718/600000: episode: 109, duration: 13.010s, episode steps: 477, steps per second:  37, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.007390, mae: 0.337274, mean_q: 0.423415, mean_eps: 0.849040
  76208/600000: episode: 110, duration: 13.522s, episode steps: 490, steps per second:  36, episode reward:  0.000, mean reward:  0.000 [ 0.000,  0.000], mean action: 2.629 [0.000, 5.000],  loss: 0.007322, mae: 0.340078, mean_q: 0.426479, mean_eps: 0.848076
  76927/600000: episode: 111, duration: 17.912s, episode steps: 719, steps per second:  40, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.428 [0.000, 5.000],  loss: 0.007882, mae: 0.349602, mean_q: 0.435478, mean_eps: 0.846868
  77501/600000: episode: 112, duration: 13.753s, episode steps: 574, steps per second:  42, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.568 [0.000, 5.000],  loss: 0.007741, mae: 0.340032, mean_q: 0.424434, mean_eps: 0.845572
  78120/600000: episode: 113, duration: 18.189s, episode steps: 619, steps per second:  34, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.688 [0.000, 5.000],  loss: 0.007442, mae: 0.342507, mean_q: 0.428166, mean_eps: 0.844380
  78790/600000: episode: 114, duration: 17.864s, episode steps: 670, steps per second:  38, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.005805, mae: 0.336292, mean_q: 0.420067, mean_eps: 0.843092
  79460/600000: episode: 115, duration: 17.008s, episode steps: 670, steps per second:  39, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.549 [0.000, 5.000],  loss: 0.007415, mae: 0.345565, mean_q: 0.431689, mean_eps: 0.841752
  79841/600000: episode: 116, duration: 10.207s, episode steps: 381, steps per second:  37, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.654 [0.000, 5.000],  loss: 0.007898, mae: 0.341936, mean_q: 0.427787, mean_eps: 0.840700
  80726/600000: episode: 117, duration: 22.819s, episode steps: 885, steps per second:  39, episode reward: 21.000, mean reward:  0.024 [ 0.000,  1.000], mean action: 2.611 [0.000, 5.000],  loss: 0.007173, mae: 0.357121, mean_q: 0.447336, mean_eps: 0.839432
  81519/600000: episode: 118, duration: 16.665s, episode steps: 793, steps per second:  48, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.446 [0.000, 5.000],  loss: 0.007422, mae: 0.366828, mean_q: 0.459725, mean_eps: 0.837756
  82179/600000: episode: 119, duration: 14.978s, episode steps: 660, steps per second:  44, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.470 [0.000, 5.000],  loss: 0.006898, mae: 0.360180, mean_q: 0.450577, mean_eps: 0.836304
  82692/600000: episode: 120, duration: 14.788s, episode steps: 513, steps per second:  35, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.497 [0.000, 5.000],  loss: 0.007715, mae: 0.367427, mean_q: 0.456174, mean_eps: 0.835132
  83103/600000: episode: 121, duration: 11.179s, episode steps: 411, steps per second:  37, episode reward:  5.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.431 [0.000, 5.000],  loss: 0.007444, mae: 0.364356, mean_q: 0.454620, mean_eps: 0.834208
  83624/600000: episode: 122, duration: 12.421s, episode steps: 521, steps per second:  42, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: 0.006498, mae: 0.362586, mean_q: 0.452153, mean_eps: 0.833276
  84195/600000: episode: 123, duration: 13.991s, episode steps: 571, steps per second:  41, episode reward:  8.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.618 [0.000, 5.000],  loss: 0.008414, mae: 0.367809, mean_q: 0.457749, mean_eps: 0.832184
  84535/600000: episode: 124, duration: 8.146s, episode steps: 340, steps per second:  42, episode reward:  4.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.474 [0.000, 5.000],  loss: 0.007526, mae: 0.363025, mean_q: 0.455087, mean_eps: 0.831272
  85029/600000: episode: 125, duration: 12.134s, episode steps: 494, steps per second:  41, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.589 [0.000, 5.000],  loss: 0.006542, mae: 0.360832, mean_q: 0.451946, mean_eps: 0.830436
  85726/600000: episode: 126, duration: 15.744s, episode steps: 697, steps per second:  44, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.545 [0.000, 5.000],  loss: 0.008112, mae: 0.378214, mean_q: 0.471920, mean_eps: 0.829244
  86417/600000: episode: 127, duration: 16.304s, episode steps: 691, steps per second:  42, episode reward: 14.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.588 [0.000, 5.000],  loss: 0.007773, mae: 0.377836, mean_q: 0.472538, mean_eps: 0.827856
  87111/600000: episode: 128, duration: 17.373s, episode steps: 694, steps per second:  40, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.421 [0.000, 5.000],  loss: 0.007861, mae: 0.379614, mean_q: 0.474988, mean_eps: 0.826472
  88084/600000: episode: 129, duration: 27.921s, episode steps: 973, steps per second:  35, episode reward: 16.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.443 [0.000, 5.000],  loss: 0.007133, mae: 0.379165, mean_q: 0.472694, mean_eps: 0.824808
  88995/600000: episode: 130, duration: 23.652s, episode steps: 911, steps per second:  39, episode reward: 18.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.463 [0.000, 5.000],  loss: 0.007495, mae: 0.380119, mean_q: 0.472926, mean_eps: 0.822924
  89604/600000: episode: 131, duration: 18.050s, episode steps: 609, steps per second:  34, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.511 [0.000, 5.000],  loss: 0.005970, mae: 0.383491, mean_q: 0.478475, mean_eps: 0.821404
  90000/600000: episode: 132, duration: 11.107s, episode steps: 396, steps per second:  36, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.717 [0.000, 5.000],  loss: 0.005849, mae: 0.375702, mean_q: 0.467152, mean_eps: 0.820400
  90637/600000: episode: 133, duration: 17.402s, episode steps: 637, steps per second:  37, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.427 [0.000, 5.000],  loss: 0.006739, mae: 0.387944, mean_q: 0.481963, mean_eps: 0.819364
  90942/600000: episode: 134, duration: 9.122s, episode steps: 305, steps per second:  33, episode reward:  3.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.269 [0.000, 5.000],  loss: 0.009215, mae: 0.407333, mean_q: 0.507519, mean_eps: 0.818420
  92101/600000: episode: 135, duration: 32.437s, episode steps: 1159, steps per second:  36, episode reward: 18.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.545 [0.000, 5.000],  loss: 0.007209, mae: 0.392585, mean_q: 0.489361, mean_eps: 0.816956
  92871/600000: episode: 136, duration: 19.153s, episode steps: 770, steps per second:  40, episode reward: 15.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.478 [0.000, 5.000],  loss: 0.006929, mae: 0.393046, mean_q: 0.488919, mean_eps: 0.815028
  93426/600000: episode: 137, duration: 12.794s, episode steps: 555, steps per second:  43, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.404 [0.000, 5.000],  loss: 0.007392, mae: 0.402184, mean_q: 0.499897, mean_eps: 0.813704
  94498/600000: episode: 138, duration: 26.075s, episode steps: 1072, steps per second:  41, episode reward: 11.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.497 [0.000, 5.000],  loss: 0.007407, mae: 0.395777, mean_q: 0.493569, mean_eps: 0.812076
  95466/600000: episode: 139, duration: 22.771s, episode steps: 968, steps per second:  43, episode reward: 19.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.520 [0.000, 5.000],  loss: 0.007217, mae: 0.409921, mean_q: 0.510865, mean_eps: 0.810036
  95979/600000: episode: 140, duration: 11.074s, episode steps: 513, steps per second:  46, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.581 [0.000, 5.000],  loss: 0.007774, mae: 0.420551, mean_q: 0.524680, mean_eps: 0.808556
