  100125/6000000: episode: 147, duration: 4.360s, episode steps: 511, steps per second: 117, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.386 [0.000, 5.000],  loss: 0.006741, mae: 0.023042, mean_q: 0.034233, mean_eps: 0.979987
  113696/6000000: episode: 167, duration: 7.439s, episode steps: 401, steps per second:  54, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.006389, mae: 0.041037, mean_q: 0.053917, mean_eps: 0.977301
  114434/6000000: episode: 168, duration: 13.175s, episode steps: 738, steps per second:  56, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.511 [0.000, 5.000],  loss: 0.006888, mae: 0.042160, mean_q: 0.054745, mean_eps: 0.977187
  114957/6000000: episode: 169, duration: 8.951s, episode steps: 523, steps per second:  58, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.428 [0.000, 5.000],  loss: 0.006219, mae: 0.039652, mean_q: 0.052564, mean_eps: 0.977061
  115635/6000000: episode: 170, duration: 10.969s, episode steps: 678, steps per second:  62, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.394 [0.000, 5.000],  loss: 0.006673, mae: 0.051348, mean_q: 0.067380, mean_eps: 0.976941
  116122/6000000: episode: 171, duration: 8.256s, episode steps: 487, steps per second:  59, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.589 [0.000, 5.000],  loss: 0.006123, mae: 0.050706, mean_q: 0.066634, mean_eps: 0.976824
  116813/6000000: episode: 172, duration: 12.802s, episode steps: 691, steps per second:  54, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.407 [0.000, 5.000],  loss: 0.005761, mae: 0.051417, mean_q: 0.066675, mean_eps: 0.976706
  117951/6000000: episode: 173, duration: 20.907s, episode steps: 1138, steps per second:  54, episode reward: 18.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.579 [0.000, 5.000],  loss: 0.005973, mae: 0.049762, mean_q: 0.064822, mean_eps: 0.976524
  118624/6000000: episode: 174, duration: 11.623s, episode steps: 673, steps per second:  58, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.541 [0.000, 5.000],  loss: 0.007103, mae: 0.055190, mean_q: 0.072606, mean_eps: 0.976343
  119414/6000000: episode: 175, duration: 13.338s, episode steps: 790, steps per second:  59, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.007856, mae: 0.052992, mean_q: 0.067871, mean_eps: 0.976196
  119812/6000000: episode: 176, duration: 6.523s, episode steps: 398, steps per second:  61, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.578 [0.000, 5.000],  loss: 0.005949, mae: 0.050122, mean_q: 0.066288, mean_eps: 0.976078
  120521/6000000: episode: 177, duration: 12.870s, episode steps: 709, steps per second:  55, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.447 [0.000, 5.000],  loss: 0.005864, mae: 0.067772, mean_q: 0.086789, mean_eps: 0.975967
  121434/6000000: episode: 178, duration: 15.796s, episode steps: 913, steps per second:  58, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.555 [0.000, 5.000],  loss: 0.006537, mae: 0.076001, mean_q: 0.096149, mean_eps: 0.975804
  122071/6000000: episode: 179, duration: 10.281s, episode steps: 637, steps per second:  62, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.006118, mae: 0.077206, mean_q: 0.097997, mean_eps: 0.975650
  122723/6000000: episode: 180, duration: 10.464s, episode steps: 652, steps per second:  62, episode reward: 13.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.439 [0.000, 5.000],  loss: 0.006901, mae: 0.077082, mean_q: 0.097520, mean_eps: 0.975521
  123307/6000000: episode: 181, duration: 9.879s, episode steps: 584, steps per second:  59, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.361 [0.000, 5.000],  loss: 0.006561, mae: 0.074699, mean_q: 0.093609, mean_eps: 0.975397
  123922/6000000: episode: 182, duration: 10.600s, episode steps: 615, steps per second:  58, episode reward: 12.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.366 [0.000, 5.000],  loss: 0.006496, mae: 0.074956, mean_q: 0.095455, mean_eps: 0.975277
  124309/6000000: episode: 183, duration: 6.854s, episode steps: 387, steps per second:  56, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.488 [0.000, 5.000],  loss: 0.006464, mae: 0.075122, mean_q: 0.096962, mean_eps: 0.975177
  124843/6000000: episode: 184, duration: 9.321s, episode steps: 534, steps per second:  57, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.453 [0.000, 5.000],  loss: 0.008036, mae: 0.079379, mean_q: 0.101165, mean_eps: 0.975085
  125501/6000000: episode: 185, duration: 11.832s, episode steps: 658, steps per second:  56, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.005951, mae: 0.090788, mean_q: 0.116027, mean_eps: 0.974966
  126108/6000000: episode: 186, duration: 10.599s, episode steps: 607, steps per second:  57, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.453 [0.000, 5.000],  loss: 0.006683, mae: 0.096565, mean_q: 0.121343, mean_eps: 0.974839
  126618/6000000: episode: 187, duration: 9.023s, episode steps: 510, steps per second:  57, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.488 [0.000, 5.000],  loss: 0.004699, mae: 0.091581, mean_q: 0.115712, mean_eps: 0.974728
  127522/6000000: episode: 188, duration: 15.300s, episode steps: 904, steps per second:  59, episode reward: 10.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.539 [0.000, 5.000],  loss: 0.006799, mae: 0.095498, mean_q: 0.120073, mean_eps: 0.974586
  128110/6000000: episode: 189, duration: 9.894s, episode steps: 588, steps per second:  59, episode reward: 10.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.006851, mae: 0.097747, mean_q: 0.123408, mean_eps: 0.974437
  128736/6000000: episode: 190, duration: 11.513s, episode steps: 626, steps per second:  54, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.543 [0.000, 5.000],  loss: 0.006898, mae: 0.096818, mean_q: 0.121779, mean_eps: 0.974316
  129431/6000000: episode: 191, duration: 13.215s, episode steps: 695, steps per second:  53, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.422 [0.000, 5.000],  loss: 0.005612, mae: 0.093134, mean_q: 0.117773, mean_eps: 0.974184
  129826/6000000: episode: 192, duration: 7.285s, episode steps: 395, steps per second:  54, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.392 [0.000, 5.000],  loss: 0.006741, mae: 0.096102, mean_q: 0.120713, mean_eps: 0.974074
  130223/6000000: episode: 193, duration: 7.156s, episode steps: 397, steps per second:  55, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.562 [0.000, 5.000],  loss: 0.006175, mae: 0.105825, mean_q: 0.132825, mean_eps: 0.973995
  130745/6000000: episode: 194, duration: 10.425s, episode steps: 522, steps per second:  50, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.489 [0.000, 5.000],  loss: 0.005811, mae: 0.112495, mean_q: 0.142105, mean_eps: 0.973903
  131373/6000000: episode: 195, duration: 13.121s, episode steps: 628, steps per second:  48, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.545 [0.000, 5.000],  loss: 0.007284, mae: 0.113196, mean_q: 0.141843, mean_eps: 0.973788
  132134/6000000: episode: 196, duration: 13.098s, episode steps: 761, steps per second:  58, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.493 [0.000, 5.000],  loss: 0.007529, mae: 0.117439, mean_q: 0.146818, mean_eps: 0.973649
  132508/6000000: episode: 197, duration: 7.027s, episode steps: 374, steps per second:  53, episode reward:  8.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.468 [0.000, 5.000],  loss: 0.007069, mae: 0.114628, mean_q: 0.144956, mean_eps: 0.973536
  133214/6000000: episode: 198, duration: 12.441s, episode steps: 706, steps per second:  57, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.619 [0.000, 5.000],  loss: 0.006479, mae: 0.111150, mean_q: 0.139877, mean_eps: 0.973428
  133723/6000000: episode: 199, duration: 9.275s, episode steps: 509, steps per second:  55, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.574 [0.000, 5.000],  loss: 0.006184, mae: 0.111442, mean_q: 0.140270, mean_eps: 0.973306
  134451/6000000: episode: 200, duration: 12.592s, episode steps: 728, steps per second:  58, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.007612, mae: 0.114399, mean_q: 0.143091, mean_eps: 0.973183
  134878/6000000: episode: 201, duration: 7.944s, episode steps: 427, steps per second:  54, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.595 [0.000, 5.000],  loss: 0.005939, mae: 0.112935, mean_q: 0.140793, mean_eps: 0.973067
  135415/6000000: episode: 202, duration: 9.035s, episode steps: 537, steps per second:  59, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.402 [0.000, 5.000],  loss: 0.007151, mae: 0.127239, mean_q: 0.159443, mean_eps: 0.972971
  135802/6000000: episode: 203, duration: 7.028s, episode steps: 387, steps per second:  55, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.615 [0.000, 5.000],  loss: 0.007582, mae: 0.134057, mean_q: 0.168682, mean_eps: 0.972878
  136229/6000000: episode: 204, duration: 7.261s, episode steps: 427, steps per second:  59, episode reward:  8.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.426 [0.000, 5.000],  loss: 0.006686, mae: 0.130950, mean_q: 0.164328, mean_eps: 0.972797
  136675/6000000: episode: 205, duration: 8.397s, episode steps: 446, steps per second:  53, episode reward:  5.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.540 [0.000, 5.000],  loss: 0.007572, mae: 0.133802, mean_q: 0.167704, mean_eps: 0.972710
  137348/6000000: episode: 206, duration: 13.206s, episode steps: 673, steps per second:  51, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.478 [0.000, 5.000],  loss: 0.007374, mae: 0.131255, mean_q: 0.165777, mean_eps: 0.972598
  137881/6000000: episode: 207, duration: 10.293s, episode steps: 533, steps per second:  52, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.407 [0.000, 5.000],  loss: 0.005797, mae: 0.127615, mean_q: 0.161419, mean_eps: 0.972477
  138857/6000000: episode: 208, duration: 17.118s, episode steps: 976, steps per second:  57, episode reward: 24.000, mean reward:  0.025 [ 0.000,  1.000], mean action: 2.419 [0.000, 5.000],  loss: 0.006700, mae: 0.129476, mean_q: 0.161848, mean_eps: 0.972326
  139814/6000000: episode: 209, duration: 16.951s, episode steps: 957, steps per second:  56, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.467 [0.000, 5.000],  loss: 0.007500, mae: 0.129376, mean_q: 0.163651, mean_eps: 0.972133
  140284/6000000: episode: 210, duration: 8.409s, episode steps: 470, steps per second:  56, episode reward:  6.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.487 [0.000, 5.000],  loss: 0.006506, mae: 0.135796, mean_q: 0.169399, mean_eps: 0.971990
  140866/6000000: episode: 211, duration: 10.491s, episode steps: 582, steps per second:  55, episode reward:  8.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.524 [0.000, 5.000],  loss: 0.008224, mae: 0.145528, mean_q: 0.181311, mean_eps: 0.971885
  141759/6000000: episode: 212, duration: 15.112s, episode steps: 893, steps per second:  59, episode reward: 14.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.538 [0.000, 5.000],  loss: 0.007007, mae: 0.139179, mean_q: 0.173895, mean_eps: 0.971738
  142372/6000000: episode: 213, duration: 10.169s, episode steps: 613, steps per second:  60, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.543 [0.000, 5.000],  loss: 0.006957, mae: 0.141566, mean_q: 0.176231, mean_eps: 0.971587
  143052/6000000: episode: 214, duration: 11.268s, episode steps: 680, steps per second:  60, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.493 [0.000, 5.000],  loss: 0.006177, mae: 0.138553, mean_q: 0.175023, mean_eps: 0.971458
  143827/6000000: episode: 215, duration: 14.280s, episode steps: 775, steps per second:  54, episode reward:  8.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.395 [0.000, 5.000],  loss: 0.006631, mae: 0.136760, mean_q: 0.172060, mean_eps: 0.971312
  144369/6000000: episode: 216, duration: 10.122s, episode steps: 542, steps per second:  54, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.659 [0.000, 5.000],  loss: 0.007276, mae: 0.134766, mean_q: 0.169859, mean_eps: 0.971180
  144985/6000000: episode: 217, duration: 11.496s, episode steps: 616, steps per second:  54, episode reward:  4.000, mean reward:  0.006 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.006410, mae: 0.138167, mean_q: 0.173199, mean_eps: 0.971064
  145676/6000000: episode: 218, duration: 11.730s, episode steps: 691, steps per second:  59, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.546 [0.000, 5.000],  loss: 0.006527, mae: 0.148307, mean_q: 0.185412, mean_eps: 0.970934
  146379/6000000: episode: 219, duration: 12.478s, episode steps: 703, steps per second:  56, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.519 [0.000, 5.000],  loss: 0.007061, mae: 0.150387, mean_q: 0.186865, mean_eps: 0.970795
  147012/6000000: episode: 220, duration: 10.917s, episode steps: 633, steps per second:  58, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.520 [0.000, 5.000],  loss: 0.005529, mae: 0.145788, mean_q: 0.180950, mean_eps: 0.970661
  147411/6000000: episode: 221, duration: 7.320s, episode steps: 399, steps per second:  55, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.411 [0.000, 5.000],  loss: 0.006833, mae: 0.149738, mean_q: 0.186063, mean_eps: 0.970558
  147943/6000000: episode: 222, duration: 9.028s, episode steps: 532, steps per second:  59, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.711 [0.000, 5.000],  loss: 0.007247, mae: 0.148420, mean_q: 0.185097, mean_eps: 0.970465
  148629/6000000: episode: 223, duration: 12.283s, episode steps: 686, steps per second:  56, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.006301, mae: 0.145552, mean_q: 0.181373, mean_eps: 0.970343
  149135/6000000: episode: 224, duration: 9.505s, episode steps: 506, steps per second:  53, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.605 [0.000, 5.000],  loss: 0.006132, mae: 0.147905, mean_q: 0.184022, mean_eps: 0.970224
  149591/6000000: episode: 225, duration: 8.361s, episode steps: 456, steps per second:  55, episode reward:  9.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.419 [0.000, 5.000],  loss: 0.005916, mae: 0.147369, mean_q: 0.183524, mean_eps: 0.970128
  150133/6000000: episode: 226, duration: 10.655s, episode steps: 542, steps per second:  51, episode reward:  3.000, mean reward:  0.006 [ 0.000,  1.000], mean action: 2.494 [0.000, 5.000],  loss: 0.006062, mae: 0.149936, mean_q: 0.185741, mean_eps: 0.970028
  150590/6000000: episode: 227, duration: 9.345s, episode steps: 457, steps per second:  49, episode reward:  5.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.451 [0.000, 5.000],  loss: 0.006033, mae: 0.171954, mean_q: 0.214311, mean_eps: 0.969928
  151150/6000000: episode: 228, duration: 11.467s, episode steps: 560, steps per second:  49, episode reward:  9.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.402 [0.000, 5.000],  loss: 0.007071, mae: 0.172654, mean_q: 0.213775, mean_eps: 0.969826
  151782/6000000: episode: 229, duration: 11.662s, episode steps: 632, steps per second:  54, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.503 [0.000, 5.000],  loss: 0.005937, mae: 0.169205, mean_q: 0.209380, mean_eps: 0.969707
  152537/6000000: episode: 230, duration: 13.815s, episode steps: 755, steps per second:  55, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: 0.006608, mae: 0.170739, mean_q: 0.212004, mean_eps: 0.969568
  152903/6000000: episode: 231, duration: 6.861s, episode steps: 366, steps per second:  53, episode reward:  9.000, mean reward:  0.025 [ 0.000,  1.000], mean action: 2.355 [0.000, 5.000],  loss: 0.006278, mae: 0.170477, mean_q: 0.210958, mean_eps: 0.969456
  153746/6000000: episode: 232, duration: 15.397s, episode steps: 843, steps per second:  55, episode reward: 15.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.540 [0.000, 5.000],  loss: 0.007171, mae: 0.170938, mean_q: 0.212437, mean_eps: 0.969335
  154520/6000000: episode: 233, duration: 14.336s, episode steps: 774, steps per second:  54, episode reward: 16.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.007417, mae: 0.174083, mean_q: 0.216698, mean_eps: 0.969174
  155159/6000000: episode: 234, duration: 11.960s, episode steps: 639, steps per second:  53, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.426 [0.000, 5.000],  loss: 0.008061, mae: 0.179882, mean_q: 0.223345, mean_eps: 0.969032
  156484/6000000: episode: 235, duration: 24.760s, episode steps: 1325, steps per second:  54, episode reward: 17.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.448 [0.000, 5.000],  loss: 0.006365, mae: 0.181359, mean_q: 0.227214, mean_eps: 0.968836
  157188/6000000: episode: 236, duration: 13.790s, episode steps: 704, steps per second:  51, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.516 [0.000, 5.000],  loss: 0.006381, mae: 0.182999, mean_q: 0.226744, mean_eps: 0.968633
  157976/6000000: episode: 237, duration: 14.818s, episode steps: 788, steps per second:  53, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.495 [0.000, 5.000],  loss: 0.006353, mae: 0.184159, mean_q: 0.228852, mean_eps: 0.968484
  158672/6000000: episode: 238, duration: 12.368s, episode steps: 696, steps per second:  56, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.448 [0.000, 5.000],  loss: 0.006397, mae: 0.180746, mean_q: 0.225598, mean_eps: 0.968336
  159087/6000000: episode: 239, duration: 7.795s, episode steps: 415, steps per second:  53, episode reward:  9.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.004865, mae: 0.178616, mean_q: 0.222089, mean_eps: 0.968224
  159913/6000000: episode: 240, duration: 14.834s, episode steps: 826, steps per second:  56, episode reward: 11.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.506 [0.000, 5.000],  loss: 0.006952, mae: 0.183371, mean_q: 0.227523, mean_eps: 0.968100
  161149/6000000: episode: 241, duration: 22.300s, episode steps: 1236, steps per second:  55, episode reward: 14.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.496 [0.000, 5.000],  loss: 0.006727, mae: 0.197870, mean_q: 0.246003, mean_eps: 0.967894
  161872/6000000: episode: 242, duration: 12.302s, episode steps: 723, steps per second:  59, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.491 [0.000, 5.000],  loss: 0.006618, mae: 0.201614, mean_q: 0.249227, mean_eps: 0.967698
  162733/6000000: episode: 243, duration: 15.908s, episode steps: 861, steps per second:  54, episode reward: 17.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.510 [0.000, 5.000],  loss: 0.006883, mae: 0.201474, mean_q: 0.249034, mean_eps: 0.967540
  163412/6000000: episode: 244, duration: 13.718s, episode steps: 679, steps per second:  49, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.462 [0.000, 5.000],  loss: 0.008807, mae: 0.203930, mean_q: 0.253044, mean_eps: 0.967386
  164026/6000000: episode: 245, duration: 13.186s, episode steps: 614, steps per second:  47, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.006974, mae: 0.201117, mean_q: 0.249520, mean_eps: 0.967256
  164873/6000000: episode: 246, duration: 15.784s, episode steps: 847, steps per second:  54, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.430 [0.000, 5.000],  loss: 0.007248, mae: 0.200389, mean_q: 0.247944, mean_eps: 0.967110
  165736/6000000: episode: 247, duration: 15.790s, episode steps: 863, steps per second:  55, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.530 [0.000, 5.000],  loss: 0.005671, mae: 0.205757, mean_q: 0.254497, mean_eps: 0.966939
  166394/6000000: episode: 248, duration: 12.983s, episode steps: 658, steps per second:  51, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.518 [0.000, 5.000],  loss: 0.005590, mae: 0.208590, mean_q: 0.259392, mean_eps: 0.966787
  167034/6000000: episode: 249, duration: 12.487s, episode steps: 640, steps per second:  51, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.355 [0.000, 5.000],  loss: 0.006898, mae: 0.208436, mean_q: 0.258052, mean_eps: 0.966657
  167737/6000000: episode: 250, duration: 14.203s, episode steps: 703, steps per second:  49, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.459 [0.000, 5.000],  loss: 0.004910, mae: 0.206132, mean_q: 0.255244, mean_eps: 0.966523
  168289/6000000: episode: 251, duration: 11.000s, episode steps: 552, steps per second:  50, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.478 [0.000, 5.000],  loss: 0.006731, mae: 0.209354, mean_q: 0.258691, mean_eps: 0.966397
