  25503/600000: episode: 38, duration: 15.486s, episode steps: 716, steps per second:  46, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.007130, mae: 0.049164, mean_q: 0.072816, mean_eps: 0.954546
  35269/600000: episode: 53, duration: 9.266s, episode steps: 599, steps per second:  65, episode reward: 11.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: 0.006217, mae: 0.069363, mean_q: 0.093792, mean_eps: 0.937054
  35913/600000: episode: 54, duration: 10.255s, episode steps: 644, steps per second:  63, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.006977, mae: 0.071152, mean_q: 0.094905, mean_eps: 0.935934
  36709/600000: episode: 55, duration: 12.345s, episode steps: 796, steps per second:  64, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.006811, mae: 0.069756, mean_q: 0.092253, mean_eps: 0.934638
  37314/600000: episode: 56, duration: 9.653s, episode steps: 605, steps per second:  63, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.456 [0.000, 5.000],  loss: 0.007020, mae: 0.071198, mean_q: 0.095045, mean_eps: 0.933378
  38120/600000: episode: 57, duration: 12.407s, episode steps: 806, steps per second:  65, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.561 [0.000, 5.000],  loss: 0.004981, mae: 0.066634, mean_q: 0.089920, mean_eps: 0.932111
  39061/600000: episode: 58, duration: 14.008s, episode steps: 941, steps per second:  67, episode reward: 17.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.598 [0.000, 5.000],  loss: 0.005963, mae: 0.067732, mean_q: 0.091494, mean_eps: 0.930538
  40046/600000: episode: 59, duration: 15.883s, episode steps: 985, steps per second:  62, episode reward: 14.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.624 [0.000, 5.000],  loss: 0.007046, mae: 0.070731, mean_q: 0.094898, mean_eps: 0.928803
  40743/600000: episode: 60, duration: 10.953s, episode steps: 697, steps per second:  64, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.006686, mae: 0.087129, mean_q: 0.117058, mean_eps: 0.927291
  41420/600000: episode: 61, duration: 11.411s, episode steps: 677, steps per second:  59, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.603 [0.000, 5.000],  loss: 0.005226, mae: 0.083421, mean_q: 0.111116, mean_eps: 0.926056
  41808/600000: episode: 62, duration: 6.450s, episode steps: 388, steps per second:  60, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.464 [0.000, 5.000],  loss: 0.007039, mae: 0.087317, mean_q: 0.122563, mean_eps: 0.925098
  43010/600000: episode: 63, duration: 18.783s, episode steps: 1202, steps per second:  64, episode reward: 12.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.628 [0.000, 5.000],  loss: 0.006734, mae: 0.087925, mean_q: 0.115998, mean_eps: 0.923666
  43639/600000: episode: 64, duration: 10.398s, episode steps: 629, steps per second:  60, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.458 [0.000, 5.000],  loss: 0.005932, mae: 0.086345, mean_q: 0.115025, mean_eps: 0.922017
  44227/600000: episode: 65, duration: 9.083s, episode steps: 588, steps per second:  65, episode reward: 10.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.004519, mae: 0.082013, mean_q: 0.107974, mean_eps: 0.920922
  45125/600000: episode: 66, duration: 14.453s, episode steps: 898, steps per second:  62, episode reward: 17.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.513 [0.000, 5.000],  loss: 0.006192, mae: 0.086865, mean_q: 0.116493, mean_eps: 0.919583
  46106/600000: episode: 67, duration: 16.216s, episode steps: 981, steps per second:  60, episode reward: 25.000, mean reward:  0.025 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: 0.006876, mae: 0.087027, mean_q: 0.117190, mean_eps: 0.917891
  46740/600000: episode: 68, duration: 10.439s, episode steps: 634, steps per second:  61, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.475 [0.000, 5.000],  loss: 0.007265, mae: 0.090120, mean_q: 0.120002, mean_eps: 0.916440
  47636/600000: episode: 69, duration: 23.577s, episode steps: 896, steps per second:  38, episode reward: 16.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.329 [0.000, 5.000],  loss: 0.006328, mae: 0.085852, mean_q: 0.115443, mean_eps: 0.915065
  48269/600000: episode: 70, duration: 30.593s, episode steps: 633, steps per second:  21, episode reward:  3.000, mean reward:  0.005 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.005348, mae: 0.084797, mean_q: 0.112666, mean_eps: 0.913686
  49275/600000: episode: 71, duration: 47.177s, episode steps: 1006, steps per second:  21, episode reward: 18.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.615 [0.000, 5.000],  loss: 0.007606, mae: 0.089969, mean_q: 0.120240, mean_eps: 0.912210
  50078/600000: episode: 72, duration: 37.111s, episode steps: 803, steps per second:  22, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.418 [0.000, 5.000],  loss: 0.006456, mae: 0.088281, mean_q: 0.119200, mean_eps: 0.910583
  50874/600000: episode: 73, duration: 13.619s, episode steps: 796, steps per second:  58, episode reward: 14.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.462 [0.000, 5.000],  loss: 0.005969, mae: 0.104484, mean_q: 0.139414, mean_eps: 0.909143
  51545/600000: episode: 74, duration: 11.132s, episode steps: 671, steps per second:  60, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.005196, mae: 0.100991, mean_q: 0.132551, mean_eps: 0.907822
  52192/600000: episode: 75, duration: 10.366s, episode steps: 647, steps per second:  62, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.462 [0.000, 5.000],  loss: 0.007645, mae: 0.108744, mean_q: 0.142444, mean_eps: 0.906638
  52710/600000: episode: 76, duration: 8.176s, episode steps: 518, steps per second:  63, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.498 [0.000, 5.000],  loss: 0.008314, mae: 0.110231, mean_q: 0.145516, mean_eps: 0.905590
  53148/600000: episode: 77, duration: 7.174s, episode steps: 438, steps per second:  61, episode reward:  4.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.646 [0.000, 5.000],  loss: 0.006844, mae: 0.106431, mean_q: 0.141502, mean_eps: 0.904730
  53987/600000: episode: 78, duration: 13.449s, episode steps: 839, steps per second:  62, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.483 [0.000, 5.000],  loss: 0.006854, mae: 0.107424, mean_q: 0.141729, mean_eps: 0.903581
  55198/600000: episode: 79, duration: 18.983s, episode steps: 1211, steps per second:  64, episode reward: 12.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.565 [0.000, 5.000],  loss: 0.006248, mae: 0.105462, mean_q: 0.139973, mean_eps: 0.901734
  55901/600000: episode: 80, duration: 10.699s, episode steps: 703, steps per second:  66, episode reward: 11.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.515 [0.000, 5.000],  loss: 0.005960, mae: 0.105434, mean_q: 0.139010, mean_eps: 0.900010
  56587/600000: episode: 81, duration: 23.654s, episode steps: 686, steps per second:  29, episode reward: 15.000, mean reward:  0.022 [ 0.000,  1.000], mean action: 2.461 [0.000, 5.000],  loss: 0.006313, mae: 0.104286, mean_q: 0.138014, mean_eps: 0.898761
  57129/600000: episode: 82, duration: 12.247s, episode steps: 542, steps per second:  44, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.506 [0.000, 5.000],  loss: 0.006947, mae: 0.108417, mean_q: 0.144941, mean_eps: 0.897656
  58042/600000: episode: 83, duration: 15.473s, episode steps: 913, steps per second:  59, episode reward: 19.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.007099, mae: 0.106881, mean_q: 0.144719, mean_eps: 0.896345
  59078/600000: episode: 84, duration: 16.269s, episode steps: 1036, steps per second:  64, episode reward: 19.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.005720, mae: 0.105102, mean_q: 0.141712, mean_eps: 0.894592
  60008/600000: episode: 85, duration: 14.693s, episode steps: 930, steps per second:  63, episode reward: 15.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.428 [0.000, 5.000],  loss: 0.006557, mae: 0.106496, mean_q: 0.140926, mean_eps: 0.892824
  60596/600000: episode: 86, duration: 8.900s, episode steps: 588, steps per second:  66, episode reward:  8.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.464 [0.000, 5.000],  loss: 0.006265, mae: 0.127603, mean_q: 0.165967, mean_eps: 0.891460
  61288/600000: episode: 87, duration: 10.777s, episode steps: 692, steps per second:  64, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.535 [0.000, 5.000],  loss: 0.006170, mae: 0.127910, mean_q: 0.167370, mean_eps: 0.890308
  61774/600000: episode: 88, duration: 7.907s, episode steps: 486, steps per second:  61, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: 0.006492, mae: 0.129598, mean_q: 0.169216, mean_eps: 0.889246
  62349/600000: episode: 89, duration: 9.586s, episode steps: 575, steps per second:  60, episode reward: 11.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.311 [0.000, 5.000],  loss: 0.006443, mae: 0.130562, mean_q: 0.170531, mean_eps: 0.888288
  63013/600000: episode: 90, duration: 11.489s, episode steps: 664, steps per second:  58, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.006748, mae: 0.128130, mean_q: 0.168051, mean_eps: 0.887172
  64140/600000: episode: 91, duration: 20.706s, episode steps: 1127, steps per second:  54, episode reward: 15.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.360 [0.000, 5.000],  loss: 0.007198, mae: 0.131616, mean_q: 0.170275, mean_eps: 0.885563
  64745/600000: episode: 92, duration: 10.447s, episode steps: 605, steps per second:  58, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.612 [0.000, 5.000],  loss: 0.006829, mae: 0.128867, mean_q: 0.168959, mean_eps: 0.884004
  65457/600000: episode: 93, duration: 12.256s, episode steps: 712, steps per second:  58, episode reward: 15.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.374 [0.000, 5.000],  loss: 0.005636, mae: 0.127583, mean_q: 0.168865, mean_eps: 0.882816
  66684/600000: episode: 94, duration: 20.987s, episode steps: 1227, steps per second:  58, episode reward: 24.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.412 [0.000, 5.000],  loss: 0.006427, mae: 0.128964, mean_q: 0.170769, mean_eps: 0.881074
  68059/600000: episode: 95, duration: 22.913s, episode steps: 1375, steps per second:  60, episode reward: 13.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.452 [0.000, 5.000],  loss: 0.006019, mae: 0.127857, mean_q: 0.166580, mean_eps: 0.878734
  68768/600000: episode: 96, duration: 11.080s, episode steps: 709, steps per second:  64, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.515 [0.000, 5.000],  loss: 0.006444, mae: 0.128598, mean_q: 0.167323, mean_eps: 0.876858
  69391/600000: episode: 97, duration: 9.795s, episode steps: 623, steps per second:  64, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.482 [0.000, 5.000],  loss: 0.006655, mae: 0.129171, mean_q: 0.169601, mean_eps: 0.875660
  70154/600000: episode: 98, duration: 12.966s, episode steps: 763, steps per second:  59, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.577 [0.000, 5.000],  loss: 0.006238, mae: 0.138472, mean_q: 0.181795, mean_eps: 0.874410
  70756/600000: episode: 99, duration: 10.011s, episode steps: 602, steps per second:  60, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.006664, mae: 0.175290, mean_q: 0.227036, mean_eps: 0.873183
  72083/600000: episode: 100, duration: 22.476s, episode steps: 1327, steps per second:  59, episode reward: 13.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.548 [0.000, 5.000],  loss: 0.006646, mae: 0.175105, mean_q: 0.225156, mean_eps: 0.871448
  72461/600000: episode: 101, duration: 6.218s, episode steps: 378, steps per second:  61, episode reward:  9.000, mean reward:  0.024 [ 0.000,  1.000], mean action: 2.172 [0.000, 5.000],  loss: 0.006520, mae: 0.175103, mean_q: 0.222769, mean_eps: 0.869910
  73237/600000: episode: 102, duration: 13.173s, episode steps: 776, steps per second:  59, episode reward:  7.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.348 [0.000, 5.000],  loss: 0.006580, mae: 0.175347, mean_q: 0.224605, mean_eps: 0.868870
  74013/600000: episode: 103, duration: 12.840s, episode steps: 776, steps per second:  60, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.007273, mae: 0.177506, mean_q: 0.227891, mean_eps: 0.867473
  75111/600000: episode: 104, duration: 18.025s, episode steps: 1098, steps per second:  61, episode reward: 19.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.474 [0.000, 5.000],  loss: 0.005981, mae: 0.173364, mean_q: 0.222963, mean_eps: 0.865788
  75733/600000: episode: 105, duration: 9.682s, episode steps: 622, steps per second:  64, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.005817, mae: 0.176132, mean_q: 0.227314, mean_eps: 0.864240
  76255/600000: episode: 106, duration: 7.837s, episode steps: 522, steps per second:  67, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.529 [0.000, 5.000],  loss: 0.006297, mae: 0.173419, mean_q: 0.221484, mean_eps: 0.863211
  76997/600000: episode: 107, duration: 11.478s, episode steps: 742, steps per second:  65, episode reward: 14.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.433 [0.000, 5.000],  loss: 0.006947, mae: 0.178111, mean_q: 0.228721, mean_eps: 0.862073
  77630/600000: episode: 108, duration: 10.256s, episode steps: 633, steps per second:  62, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.390 [0.000, 5.000],  loss: 0.007355, mae: 0.177863, mean_q: 0.230706, mean_eps: 0.860835
  77985/600000: episode: 109, duration: 6.076s, episode steps: 355, steps per second:  58, episode reward:  7.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.462 [0.000, 5.000],  loss: 0.006742, mae: 0.174892, mean_q: 0.226292, mean_eps: 0.859946
  78655/600000: episode: 110, duration: 11.521s, episode steps: 670, steps per second:  58, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.461 [0.000, 5.000],  loss: 0.006866, mae: 0.177662, mean_q: 0.229018, mean_eps: 0.859024
  79147/600000: episode: 111, duration: 7.800s, episode steps: 492, steps per second:  63, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.559 [0.000, 5.000],  loss: 0.007089, mae: 0.176668, mean_q: 0.227373, mean_eps: 0.857980
  79736/600000: episode: 112, duration: 9.505s, episode steps: 589, steps per second:  62, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.006901, mae: 0.176084, mean_q: 0.227673, mean_eps: 0.857008
  80370/600000: episode: 113, duration: 23.956s, episode steps: 634, steps per second:  26, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.006902, mae: 0.194896, mean_q: 0.253709, mean_eps: 0.855906
  80884/600000: episode: 114, duration: 23.263s, episode steps: 514, steps per second:  22, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.358 [0.000, 5.000],  loss: 0.007118, mae: 0.209003, mean_q: 0.269547, mean_eps: 0.854873
  81430/600000: episode: 115, duration: 19.613s, episode steps: 546, steps per second:  28, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.006603, mae: 0.205124, mean_q: 0.263221, mean_eps: 0.853919
  82067/600000: episode: 116, duration: 29.857s, episode steps: 637, steps per second:  21, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.553 [0.000, 5.000],  loss: 0.005926, mae: 0.205728, mean_q: 0.264207, mean_eps: 0.852854
  82541/600000: episode: 117, duration: 23.609s, episode steps: 474, steps per second:  20, episode reward:  1.000, mean reward:  0.002 [ 0.000,  1.000], mean action: 2.489 [0.000, 5.000],  loss: 0.006860, mae: 0.208485, mean_q: 0.264108, mean_eps: 0.851853
  83423/600000: episode: 118, duration: 42.442s, episode steps: 882, steps per second:  21, episode reward: 15.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.409 [0.000, 5.000],  loss: 0.007626, mae: 0.209390, mean_q: 0.266003, mean_eps: 0.850632
  83991/600000: episode: 119, duration: 28.504s, episode steps: 568, steps per second:  20, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.370 [0.000, 5.000],  loss: 0.007038, mae: 0.207840, mean_q: 0.265521, mean_eps: 0.849329
  84503/600000: episode: 120, duration: 24.109s, episode steps: 512, steps per second:  21, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.434 [0.000, 5.000],  loss: 0.007669, mae: 0.211022, mean_q: 0.269984, mean_eps: 0.848357
  85018/600000: episode: 121, duration: 26.302s, episode steps: 515, steps per second:  20, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.307 [0.000, 5.000],  loss: 0.006841, mae: 0.205905, mean_q: 0.265082, mean_eps: 0.847432
  85646/600000: episode: 122, duration: 32.294s, episode steps: 628, steps per second:  19, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.007255, mae: 0.209045, mean_q: 0.267733, mean_eps: 0.846402
  86358/600000: episode: 123, duration: 36.562s, episode steps: 712, steps per second:  19, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.507 [0.000, 5.000],  loss: 0.005866, mae: 0.202994, mean_q: 0.261149, mean_eps: 0.845196
  87006/600000: episode: 124, duration: 32.821s, episode steps: 648, steps per second:  20, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.552 [0.000, 5.000],  loss: 0.005361, mae: 0.200515, mean_q: 0.256824, mean_eps: 0.843972
  87393/600000: episode: 125, duration: 19.649s, episode steps: 387, steps per second:  20, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.615 [0.000, 5.000],  loss: 0.010102, mae: 0.219376, mean_q: 0.277556, mean_eps: 0.843040
  88369/600000: episode: 126, duration: 48.599s, episode steps: 976, steps per second:  20, episode reward: 12.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.408 [0.000, 5.000],  loss: 0.006510, mae: 0.206518, mean_q: 0.264397, mean_eps: 0.841812
  89058/600000: episode: 127, duration: 34.529s, episode steps: 689, steps per second:  20, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.547 [0.000, 5.000],  loss: 0.007315, mae: 0.208064, mean_q: 0.266129, mean_eps: 0.840315
  89687/600000: episode: 128, duration: 32.776s, episode steps: 629, steps per second:  19, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.442 [0.000, 5.000],  loss: 0.007167, mae: 0.210479, mean_q: 0.268412, mean_eps: 0.839130
  90915/600000: episode: 129, duration: 63.774s, episode steps: 1228, steps per second:  19, episode reward: 18.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.375 [0.000, 5.000],  loss: 0.007319, mae: 0.230468, mean_q: 0.293275, mean_eps: 0.837460
  91471/600000: episode: 130, duration: 28.462s, episode steps: 556, steps per second:  20, episode reward:  8.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.604 [0.000, 5.000],  loss: 0.006409, mae: 0.237038, mean_q: 0.300506, mean_eps: 0.835854
  92615/600000: episode: 131, duration: 56.336s, episode steps: 1144, steps per second:  20, episode reward: 23.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.640 [0.000, 5.000],  loss: 0.006847, mae: 0.238364, mean_q: 0.302089, mean_eps: 0.834324
  93149/600000: episode: 132, duration: 26.234s, episode steps: 534, steps per second:  20, episode reward: 10.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.333 [0.000, 5.000],  loss: 0.006642, mae: 0.237671, mean_q: 0.299935, mean_eps: 0.832812
  94245/600000: episode: 133, duration: 46.116s, episode steps: 1096, steps per second:  24, episode reward: 18.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.383 [0.000, 5.000],  loss: 0.006716, mae: 0.237811, mean_q: 0.299406, mean_eps: 0.831344
  94894/600000: episode: 134, duration: 11.872s, episode steps: 649, steps per second:  55, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.485 [0.000, 5.000],  loss: 0.007331, mae: 0.240042, mean_q: 0.304024, mean_eps: 0.829774
  96442/600000: episode: 135, duration: 24.959s, episode steps: 1548, steps per second:  62, episode reward: 17.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.517 [0.000, 5.000],  loss: 0.005938, mae: 0.237819, mean_q: 0.302322, mean_eps: 0.827798
  97262/600000: episode: 136, duration: 15.154s, episode steps: 820, steps per second:  54, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: 0.006744, mae: 0.238116, mean_q: 0.300945, mean_eps: 0.825666
  98453/600000: episode: 137, duration: 21.811s, episode steps: 1191, steps per second:  55, episode reward: 19.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.533 [0.000, 5.000],  loss: 0.006999, mae: 0.240680, mean_q: 0.304661, mean_eps: 0.823856
  99164/600000: episode: 138, duration: 13.188s, episode steps: 711, steps per second:  54, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.529 [0.000, 5.000],  loss: 0.007259, mae: 0.240622, mean_q: 0.306938, mean_eps: 0.822146
  99827/600000: episode: 139, duration: 12.510s, episode steps: 663, steps per second:  53, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.008065, mae: 0.241541, mean_q: 0.307820, mean_eps: 0.820911
 100863/600000: episode: 140, duration: 19.076s, episode steps: 1036, steps per second:  54, episode reward: 18.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.427 [0.000, 5.000],  loss: 0.007163, mae: 0.257336, mean_q: 0.327460, mean_eps: 0.819381
 101388/600000: episode: 141, duration: 9.661s, episode steps: 525, steps per second:  54, episode reward:  8.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.503 [0.000, 5.000],  loss: 0.007179, mae: 0.267620, mean_q: 0.340202, mean_eps: 0.817977
 101947/600000: episode: 142, duration: 9.790s, episode steps: 559, steps per second:  57, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.327 [0.000, 5.000],  loss: 0.006942, mae: 0.255079, mean_q: 0.324959, mean_eps: 0.817001
