   50270/2000000: episode: 74, duration: 13.334s, episode steps: 519, steps per second:  39, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.644 [0.000, 5.000],  loss: 0.006156, mae: 0.014239, mean_q: 0.020979, mean_eps: 0.968247
   86821/2000000: episode: 126, duration: 31.270s, episode steps: 805, steps per second:  26, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.532 [0.000, 5.000],  loss: 0.005550, mae: 0.057330, mean_q: 0.081020, mean_eps: 0.945269
   87729/2000000: episode: 127, duration: 35.196s, episode steps: 908, steps per second:  26, episode reward: 11.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.005292, mae: 0.057954, mean_q: 0.081740, mean_eps: 0.944725
   88113/2000000: episode: 128, duration: 14.757s, episode steps: 384, steps per second:  26, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.398 [0.000, 5.000],  loss: 0.004820, mae: 0.056716, mean_q: 0.079557, mean_eps: 0.944316
   88847/2000000: episode: 129, duration: 28.269s, episode steps: 734, steps per second:  26, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.475 [0.000, 5.000],  loss: 0.004937, mae: 0.056754, mean_q: 0.080258, mean_eps: 0.943963
   89428/2000000: episode: 130, duration: 22.549s, episode steps: 581, steps per second:  26, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.006467, mae: 0.060348, mean_q: 0.084440, mean_eps: 0.943547
   89996/2000000: episode: 131, duration: 21.990s, episode steps: 568, steps per second:  26, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.004545, mae: 0.055732, mean_q: 0.079708, mean_eps: 0.943184
   90665/2000000: episode: 132, duration: 25.827s, episode steps: 669, steps per second:  26, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.619 [0.000, 5.000],  loss: 0.005412, mae: 0.075074, mean_q: 0.104501, mean_eps: 0.942791
   91274/2000000: episode: 133, duration: 23.406s, episode steps: 609, steps per second:  26, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.396 [0.000, 5.000],  loss: 0.005450, mae: 0.074788, mean_q: 0.103917, mean_eps: 0.942386
   92246/2000000: episode: 134, duration: 37.272s, episode steps: 972, steps per second:  26, episode reward: 20.000, mean reward:  0.021 [ 0.000,  1.000], mean action: 2.439 [0.000, 5.000],  loss: 0.005258, mae: 0.072772, mean_q: 0.100976, mean_eps: 0.941885
   92983/2000000: episode: 135, duration: 28.347s, episode steps: 737, steps per second:  26, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.422 [0.000, 5.000],  loss: 0.006297, mae: 0.075344, mean_q: 0.102039, mean_eps: 0.941344
   93470/2000000: episode: 136, duration: 18.806s, episode steps: 487, steps per second:  26, episode reward:  1.000, mean reward:  0.002 [ 0.000,  1.000], mean action: 2.400 [0.000, 5.000],  loss: 0.005478, mae: 0.075000, mean_q: 0.103821, mean_eps: 0.940957
   94214/2000000: episode: 137, duration: 28.691s, episode steps: 744, steps per second:  26, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.527 [0.000, 5.000],  loss: 0.005494, mae: 0.075273, mean_q: 0.104412, mean_eps: 0.940567
   95094/2000000: episode: 138, duration: 33.857s, episode steps: 880, steps per second:  26, episode reward: 14.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.534 [0.000, 5.000],  loss: 0.005790, mae: 0.075554, mean_q: 0.106194, mean_eps: 0.940052
   95883/2000000: episode: 139, duration: 30.457s, episode steps: 789, steps per second:  26, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.593 [0.000, 5.000],  loss: 0.004853, mae: 0.070614, mean_q: 0.098701, mean_eps: 0.939524
   96599/2000000: episode: 140, duration: 27.642s, episode steps: 716, steps per second:  26, episode reward:  7.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.425 [0.000, 5.000],  loss: 0.005652, mae: 0.073502, mean_q: 0.104224, mean_eps: 0.939048
   97188/2000000: episode: 141, duration: 22.813s, episode steps: 589, steps per second:  26, episode reward: 11.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.635 [0.000, 5.000],  loss: 0.004868, mae: 0.074108, mean_q: 0.102749, mean_eps: 0.938635
   98078/2000000: episode: 142, duration: 34.318s, episode steps: 890, steps per second:  26, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.005611, mae: 0.074662, mean_q: 0.104442, mean_eps: 0.938166
   98795/2000000: episode: 143, duration: 27.630s, episode steps: 717, steps per second:  26, episode reward: 14.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.558 [0.000, 5.000],  loss: 0.005035, mae: 0.074604, mean_q: 0.104379, mean_eps: 0.937657
   99522/2000000: episode: 144, duration: 27.960s, episode steps: 727, steps per second:  26, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.420 [0.000, 5.000],  loss: 0.005079, mae: 0.073693, mean_q: 0.102013, mean_eps: 0.937200
  100073/2000000: episode: 145, duration: 22.322s, episode steps: 551, steps per second:  25, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.416 [0.000, 5.000],  loss: 0.005338, mae: 0.079218, mean_q: 0.109034, mean_eps: 0.936795
  100476/2000000: episode: 146, duration: 15.586s, episode steps: 403, steps per second:  26, episode reward:  5.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.006808, mae: 0.104838, mean_q: 0.142392, mean_eps: 0.936493
  100979/2000000: episode: 147, duration: 19.405s, episode steps: 503, steps per second:  26, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.465 [0.000, 5.000],  loss: 0.007214, mae: 0.106352, mean_q: 0.145198, mean_eps: 0.936207
  101778/2000000: episode: 148, duration: 30.847s, episode steps: 799, steps per second:  26, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.443 [0.000, 5.000],  loss: 0.006093, mae: 0.103086, mean_q: 0.140061, mean_eps: 0.935794
  102421/2000000: episode: 149, duration: 24.831s, episode steps: 643, steps per second:  26, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.555 [0.000, 5.000],  loss: 0.006683, mae: 0.101618, mean_q: 0.137845, mean_eps: 0.935337
  103081/2000000: episode: 150, duration: 25.479s, episode steps: 660, steps per second:  26, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.626 [0.000, 5.000],  loss: 0.005494, mae: 0.099534, mean_q: 0.138098, mean_eps: 0.934924
  104108/2000000: episode: 151, duration: 39.827s, episode steps: 1027, steps per second:  26, episode reward: 17.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.320 [0.000, 5.000],  loss: 0.005474, mae: 0.098977, mean_q: 0.135184, mean_eps: 0.934390
  104773/2000000: episode: 152, duration: 25.744s, episode steps: 665, steps per second:  26, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.475 [0.000, 5.000],  loss: 0.005548, mae: 0.099731, mean_q: 0.135363, mean_eps: 0.933855
  105510/2000000: episode: 153, duration: 28.415s, episode steps: 737, steps per second:  26, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.685 [0.000, 5.000],  loss: 0.005415, mae: 0.099429, mean_q: 0.135682, mean_eps: 0.933410
  105915/2000000: episode: 154, duration: 15.581s, episode steps: 405, steps per second:  26, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.637 [0.000, 5.000],  loss: 0.005270, mae: 0.099424, mean_q: 0.136346, mean_eps: 0.933049
  106555/2000000: episode: 155, duration: 24.708s, episode steps: 640, steps per second:  26, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.670 [0.000, 5.000],  loss: 0.006541, mae: 0.104171, mean_q: 0.140178, mean_eps: 0.932718
  107065/2000000: episode: 156, duration: 19.758s, episode steps: 510, steps per second:  26, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.420 [0.000, 5.000],  loss: 0.005100, mae: 0.096519, mean_q: 0.132442, mean_eps: 0.932354
  107650/2000000: episode: 157, duration: 22.626s, episode steps: 585, steps per second:  26, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.509 [0.000, 5.000],  loss: 0.005697, mae: 0.101870, mean_q: 0.138424, mean_eps: 0.932007
  108431/2000000: episode: 158, duration: 30.268s, episode steps: 781, steps per second:  26, episode reward: 11.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.005009, mae: 0.098884, mean_q: 0.134912, mean_eps: 0.931575
  109173/2000000: episode: 159, duration: 28.842s, episode steps: 742, steps per second:  26, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.557 [0.000, 5.000],  loss: 0.005483, mae: 0.100732, mean_q: 0.137052, mean_eps: 0.931092
  109933/2000000: episode: 160, duration: 29.674s, episode steps: 760, steps per second:  26, episode reward: 14.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.522 [0.000, 5.000],  loss: 0.005187, mae: 0.097467, mean_q: 0.132875, mean_eps: 0.930616
  110561/2000000: episode: 161, duration: 24.334s, episode steps: 628, steps per second:  26, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.382 [0.000, 5.000],  loss: 0.007305, mae: 0.130654, mean_q: 0.175848, mean_eps: 0.930176
  111118/2000000: episode: 162, duration: 21.479s, episode steps: 557, steps per second:  26, episode reward:  6.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.598 [0.000, 5.000],  loss: 0.006217, mae: 0.132234, mean_q: 0.176741, mean_eps: 0.929801
  111780/2000000: episode: 163, duration: 25.627s, episode steps: 662, steps per second:  26, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.409 [0.000, 5.000],  loss: 0.006682, mae: 0.132887, mean_q: 0.177190, mean_eps: 0.929416
  112589/2000000: episode: 164, duration: 31.355s, episode steps: 809, steps per second:  26, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.566 [0.000, 5.000],  loss: 0.007347, mae: 0.132962, mean_q: 0.177449, mean_eps: 0.928950
  113058/2000000: episode: 165, duration: 18.176s, episode steps: 469, steps per second:  26, episode reward:  9.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.514 [0.000, 5.000],  loss: 0.006679, mae: 0.129057, mean_q: 0.172545, mean_eps: 0.928545
  113560/2000000: episode: 166, duration: 19.552s, episode steps: 502, steps per second:  26, episode reward:  9.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.452 [0.000, 5.000],  loss: 0.006190, mae: 0.132008, mean_q: 0.176362, mean_eps: 0.928238
  114664/2000000: episode: 167, duration: 42.923s, episode steps: 1104, steps per second:  26, episode reward: 13.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.006297, mae: 0.131017, mean_q: 0.176187, mean_eps: 0.927730
  115168/2000000: episode: 168, duration: 19.774s, episode steps: 504, steps per second:  25, episode reward:  5.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.520 [0.000, 5.000],  loss: 0.005855, mae: 0.127410, mean_q: 0.171606, mean_eps: 0.927221
  115997/2000000: episode: 169, duration: 32.149s, episode steps: 829, steps per second:  26, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.511 [0.000, 5.000],  loss: 0.006129, mae: 0.131206, mean_q: 0.174766, mean_eps: 0.926798
  116663/2000000: episode: 170, duration: 25.722s, episode steps: 666, steps per second:  26, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: 0.006201, mae: 0.132729, mean_q: 0.177848, mean_eps: 0.926324
  117695/2000000: episode: 171, duration: 40.166s, episode steps: 1032, steps per second:  26, episode reward: 17.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.466 [0.000, 5.000],  loss: 0.005324, mae: 0.127705, mean_q: 0.171359, mean_eps: 0.925787
  118286/2000000: episode: 172, duration: 22.917s, episode steps: 591, steps per second:  26, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.398 [0.000, 5.000],  loss: 0.005929, mae: 0.130392, mean_q: 0.175534, mean_eps: 0.925273
  118719/2000000: episode: 173, duration: 16.774s, episode steps: 433, steps per second:  26, episode reward:  2.000, mean reward:  0.005 [ 0.000,  1.000], mean action: 2.612 [0.000, 5.000],  loss: 0.006066, mae: 0.131992, mean_q: 0.176356, mean_eps: 0.924949
  119218/2000000: episode: 174, duration: 19.388s, episode steps: 499, steps per second:  26, episode reward:  4.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.563 [0.000, 5.000],  loss: 0.005878, mae: 0.129648, mean_q: 0.173919, mean_eps: 0.924654
  119883/2000000: episode: 175, duration: 25.876s, episode steps: 665, steps per second:  26, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.595 [0.000, 5.000],  loss: 0.006428, mae: 0.131077, mean_q: 0.176673, mean_eps: 0.924285
  120674/2000000: episode: 176, duration: 30.819s, episode steps: 791, steps per second:  26, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.007066, mae: 0.159492, mean_q: 0.213422, mean_eps: 0.923824
  121523/2000000: episode: 177, duration: 32.865s, episode steps: 849, steps per second:  26, episode reward:  6.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.504 [0.000, 5.000],  loss: 0.007402, mae: 0.165538, mean_q: 0.220471, mean_eps: 0.923305
  122243/2000000: episode: 178, duration: 27.899s, episode steps: 720, steps per second:  26, episode reward: 11.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.544 [0.000, 5.000],  loss: 0.007338, mae: 0.166918, mean_q: 0.221364, mean_eps: 0.922808
