Training for 1200000 steps ...
c:\Users\jgilg\anaconda3\envs\miar_rl\lib\site-packages\tensorflow\python\keras\engine\training.py:2424: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
     420/1200000: episode: 1, duration: 1.941s, episode steps: 420, steps per second: 216, episode reward:  6.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    7939/1200000: episode: 12, duration: 2.289s, episode steps: 533, steps per second: 233, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.499 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    8692/1200000: episode: 13, duration: 2.978s, episode steps: 753, steps per second: 253, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.548 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    9336/1200000: episode: 14, duration: 2.596s, episode steps: 644, steps per second: 248, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.540 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
    9698/1200000: episode: 15, duration: 1.534s, episode steps: 362, steps per second: 236, episode reward:  6.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   10680/1200000: episode: 16, duration: 4.066s, episode steps: 982, steps per second: 242, episode reward: 15.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.481 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   11301/1200000: episode: 17, duration: 2.532s, episode steps: 621, steps per second: 245, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.385 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   11749/1200000: episode: 18, duration: 1.619s, episode steps: 448, steps per second: 277, episode reward:  5.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.417 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   12965/1200000: episode: 19, duration: 4.801s, episode steps: 1216, steps per second: 253, episode reward: 23.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.539 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   14127/1200000: episode: 20, duration: 4.084s, episode steps: 1162, steps per second: 284, episode reward: 11.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.532 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   14764/1200000: episode: 21, duration: 2.386s, episode steps: 637, steps per second: 267, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.480 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   15373/1200000: episode: 22, duration: 2.123s, episode steps: 609, steps per second: 287, episode reward: 11.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.504 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   15764/1200000: episode: 23, duration: 1.655s, episode steps: 391, steps per second: 236, episode reward:  5.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.586 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   16465/1200000: episode: 24, duration: 2.697s, episode steps: 701, steps per second: 260, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.434 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   17069/1200000: episode: 25, duration: 2.355s, episode steps: 604, steps per second: 256, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.570 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   17924/1200000: episode: 26, duration: 3.206s, episode steps: 855, steps per second: 267, episode reward: 14.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.531 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   18735/1200000: episode: 27, duration: 2.963s, episode steps: 811, steps per second: 274, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.472 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   19390/1200000: episode: 28, duration: 2.379s, episode steps: 655, steps per second: 275, episode reward: 11.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.458 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   19852/1200000: episode: 29, duration: 1.601s, episode steps: 462, steps per second: 289, episode reward:  9.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.340 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   20988/1200000: episode: 30, duration: 4.104s, episode steps: 1136, steps per second: 277, episode reward: 14.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.512 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   21460/1200000: episode: 31, duration: 1.592s, episode steps: 472, steps per second: 296, episode reward:  7.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.354 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   22200/1200000: episode: 32, duration: 3.304s, episode steps: 740, steps per second: 224, episode reward: 13.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.439 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   23146/1200000: episode: 33, duration: 3.936s, episode steps: 946, steps per second: 240, episode reward: 14.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.477 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   24493/1200000: episode: 34, duration: 5.523s, episode steps: 1347, steps per second: 244, episode reward: 17.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.457 [0.000, 5.000],  loss: --, mae: --, mean_q: --, mean_eps: --
c:\Users\jgilg\anaconda3\envs\miar_rl\lib\site-packages\tensorflow\python\keras\engine\training.py:2424: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
   25715/1200000: episode: 35, duration: 14.751s, episode steps: 1222, steps per second:  83, episode reward: 21.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.521 [0.000, 5.000],  loss: 0.005355, mae: 0.030328, mean_q: 0.046177, mean_eps: 0.961963
   26382/1200000: episode: 36, duration: 10.455s, episode steps: 667, steps per second:  64, episode reward:  8.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.573 [0.000, 5.000],  loss: 0.005824, mae: 0.031926, mean_q: 0.046575, mean_eps: 0.960928
   26783/1200000: episode: 37, duration: 6.120s, episode steps: 401, steps per second:  66, episode reward:  6.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.479 [0.000, 5.000],  loss: 0.005622, mae: 0.031854, mean_q: 0.042913, mean_eps: 0.960127
   27783/1200000: episode: 38, duration: 15.690s, episode steps: 1000, steps per second:  64, episode reward: 13.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.507 [0.000, 5.000],  loss: 0.008162, mae: 0.037903, mean_q: 0.050547, mean_eps: 0.959077
   28374/1200000: episode: 39, duration: 9.347s, episode steps: 591, steps per second:  63, episode reward:  4.000, mean reward:  0.007 [ 0.000,  1.000], mean action: 2.541 [0.000, 5.000],  loss: 0.006802, mae: 0.034157, mean_q: 0.047089, mean_eps: 0.957883
   29384/1200000: episode: 40, duration: 15.816s, episode steps: 1010, steps per second:  64, episode reward: 10.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.557 [0.000, 5.000],  loss: 0.006644, mae: 0.034060, mean_q: 0.046436, mean_eps: 0.956683
   29983/1200000: episode: 41, duration: 9.294s, episode steps: 599, steps per second:  64, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.409 [0.000, 5.000],  loss: 0.007767, mae: 0.037416, mean_q: 0.052428, mean_eps: 0.955477
   30521/1200000: episode: 42, duration: 8.311s, episode steps: 538, steps per second:  65, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.520 [0.000, 5.000],  loss: 0.006011, mae: 0.048121, mean_q: 0.065744, mean_eps: 0.954622
   31236/1200000: episode: 43, duration: 11.142s, episode steps: 715, steps per second:  64, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.491 [0.000, 5.000],  loss: 0.007132, mae: 0.052294, mean_q: 0.070997, mean_eps: 0.953683
   32167/1200000: episode: 44, duration: 14.672s, episode steps: 931, steps per second:  63, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.483 [0.000, 5.000],  loss: 0.006074, mae: 0.050319, mean_q: 0.068388, mean_eps: 0.952450
   32561/1200000: episode: 45, duration: 6.598s, episode steps: 394, steps per second:  60, episode reward:  8.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.396 [0.000, 5.000],  loss: 0.005863, mae: 0.049895, mean_q: 0.068178, mean_eps: 0.951454
   33231/1200000: episode: 46, duration: 10.886s, episode steps: 670, steps per second:  62, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.433 [0.000, 5.000],  loss: 0.006248, mae: 0.050798, mean_q: 0.070453, mean_eps: 0.950656
   33874/1200000: episode: 47, duration: 10.150s, episode steps: 643, steps per second:  63, episode reward: 10.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.367 [0.000, 5.000],  loss: 0.006177, mae: 0.050065, mean_q: 0.070692, mean_eps: 0.949672
   34573/1200000: episode: 48, duration: 11.126s, episode steps: 699, steps per second:  63, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.474 [0.000, 5.000],  loss: 0.005787, mae: 0.050247, mean_q: 0.070097, mean_eps: 0.948664
   35163/1200000: episode: 49, duration: 10.362s, episode steps: 590, steps per second:  57, episode reward: 11.000, mean reward:  0.019 [ 0.000,  1.000], mean action: 2.453 [0.000, 5.000],  loss: 0.006985, mae: 0.052925, mean_q: 0.070964, mean_eps: 0.947698
   35803/1200000: episode: 50, duration: 10.139s, episode steps: 640, steps per second:  63, episode reward:  5.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.492 [0.000, 5.000],  loss: 0.007282, mae: 0.052819, mean_q: 0.072503, mean_eps: 0.946777
   36512/1200000: episode: 51, duration: 12.435s, episode steps: 709, steps per second:  57, episode reward:  8.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.470 [0.000, 5.000],  loss: 0.006108, mae: 0.050292, mean_q: 0.069826, mean_eps: 0.945766
   37214/1200000: episode: 52, duration: 13.703s, episode steps: 702, steps per second:  51, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.463 [0.000, 5.000],  loss: 0.006883, mae: 0.053436, mean_q: 0.076163, mean_eps: 0.944707
   37705/1200000: episode: 53, duration: 8.720s, episode steps: 491, steps per second:  56, episode reward: 10.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.582 [0.000, 5.000],  loss: 0.007793, mae: 0.055385, mean_q: 0.080065, mean_eps: 0.943810
   38469/1200000: episode: 54, duration: 13.716s, episode steps: 764, steps per second:  56, episode reward: 12.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.586 [0.000, 5.000],  loss: 0.006081, mae: 0.050738, mean_q: 0.073219, mean_eps: 0.942868
   39250/1200000: episode: 55, duration: 14.061s, episode steps: 781, steps per second:  56, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.611 [0.000, 5.000],  loss: 0.006344, mae: 0.050811, mean_q: 0.074957, mean_eps: 0.941710
   39744/1200000: episode: 56, duration: 8.639s, episode steps: 494, steps per second:  57, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.490 [0.000, 5.000],  loss: 0.006744, mae: 0.053257, mean_q: 0.080555, mean_eps: 0.940756
   40238/1200000: episode: 57, duration: 9.583s, episode steps: 494, steps per second:  52, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.429 [0.000, 5.000],  loss: 0.006405, mae: 0.058800, mean_q: 0.085772, mean_eps: 0.940015
   41016/1200000: episode: 58, duration: 13.974s, episode steps: 778, steps per second:  56, episode reward: 12.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.558 [0.000, 5.000],  loss: 0.005589, mae: 0.068805, mean_q: 0.098550, mean_eps: 0.939061
   41947/1200000: episode: 59, duration: 16.396s, episode steps: 931, steps per second:  57, episode reward: 19.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.509 [0.000, 5.000],  loss: 0.007050, mae: 0.072371, mean_q: 0.102141, mean_eps: 0.937780
   42606/1200000: episode: 60, duration: 12.644s, episode steps: 659, steps per second:  52, episode reward: 10.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.586 [0.000, 5.000],  loss: 0.007064, mae: 0.072355, mean_q: 0.100193, mean_eps: 0.936586
   43185/1200000: episode: 61, duration: 11.519s, episode steps: 579, steps per second:  50, episode reward:  7.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.449 [0.000, 5.000],  loss: 0.005617, mae: 0.069273, mean_q: 0.095300, mean_eps: 0.935656
   43678/1200000: episode: 62, duration: 9.307s, episode steps: 493, steps per second:  53, episode reward:  6.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.381 [0.000, 5.000],  loss: 0.006754, mae: 0.073069, mean_q: 0.103563, mean_eps: 0.934852
   44085/1200000: episode: 63, duration: 6.870s, episode steps: 407, steps per second:  59, episode reward:  7.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.472 [0.000, 5.000],  loss: 0.008002, mae: 0.075632, mean_q: 0.104579, mean_eps: 0.934177
   44930/1200000: episode: 64, duration: 14.169s, episode steps: 845, steps per second:  60, episode reward: 10.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.529 [0.000, 5.000],  loss: 0.007356, mae: 0.073362, mean_q: 0.102128, mean_eps: 0.933238
   45967/1200000: episode: 65, duration: 18.024s, episode steps: 1037, steps per second:  58, episode reward: 15.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.501 [0.000, 5.000],  loss: 0.006043, mae: 0.070155, mean_q: 0.097820, mean_eps: 0.931828
   46515/1200000: episode: 66, duration: 9.638s, episode steps: 548, steps per second:  57, episode reward: 11.000, mean reward:  0.020 [ 0.000,  1.000], mean action: 2.423 [0.000, 5.000],  loss: 0.005243, mae: 0.068573, mean_q: 0.095449, mean_eps: 0.930640
   47059/1200000: episode: 67, duration: 9.784s, episode steps: 544, steps per second:  56, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.364 [0.000, 5.000],  loss: 0.006499, mae: 0.072787, mean_q: 0.102164, mean_eps: 0.929821
   47426/1200000: episode: 68, duration: 6.805s, episode steps: 367, steps per second:  54, episode reward:  5.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.387 [0.000, 5.000],  loss: 0.006603, mae: 0.070886, mean_q: 0.099873, mean_eps: 0.929137
   48071/1200000: episode: 69, duration: 11.808s, episode steps: 645, steps per second:  55, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.450 [0.000, 5.000],  loss: 0.006799, mae: 0.074521, mean_q: 0.104692, mean_eps: 0.928378
   48784/1200000: episode: 70, duration: 13.313s, episode steps: 713, steps per second:  54, episode reward:  6.000, mean reward:  0.008 [ 0.000,  1.000], mean action: 2.513 [0.000, 5.000],  loss: 0.006128, mae: 0.069990, mean_q: 0.099896, mean_eps: 0.927361
   49352/1200000: episode: 71, duration: 10.402s, episode steps: 568, steps per second:  55, episode reward:  5.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.569 [0.000, 5.000],  loss: 0.006776, mae: 0.073709, mean_q: 0.104163, mean_eps: 0.926401
   50225/1200000: episode: 72, duration: 15.673s, episode steps: 873, steps per second:  56, episode reward: 12.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.459 [0.000, 5.000],  loss: 0.006318, mae: 0.080159, mean_q: 0.113515, mean_eps: 0.925318
   50725/1200000: episode: 73, duration: 8.209s, episode steps: 500, steps per second:  61, episode reward:  8.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.486 [0.000, 5.000],  loss: 0.006976, mae: 0.110958, mean_q: 0.151682, mean_eps: 0.924286
   51263/1200000: episode: 74, duration: 8.741s, episode steps: 538, steps per second:  62, episode reward:  9.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.500 [0.000, 5.000],  loss: 0.005309, mae: 0.106141, mean_q: 0.145419, mean_eps: 0.923509
   51870/1200000: episode: 75, duration: 10.632s, episode steps: 607, steps per second:  57, episode reward:  6.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.390 [0.000, 5.000],  loss: 0.005192, mae: 0.105360, mean_q: 0.141816, mean_eps: 0.922651
   52604/1200000: episode: 76, duration: 12.550s, episode steps: 734, steps per second:  58, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.590 [0.000, 5.000],  loss: 0.005531, mae: 0.106671, mean_q: 0.142583, mean_eps: 0.921646
   53107/1200000: episode: 77, duration: 8.521s, episode steps: 503, steps per second:  59, episode reward:  2.000, mean reward:  0.004 [ 0.000,  1.000], mean action: 2.523 [0.000, 5.000],  loss: 0.005700, mae: 0.106974, mean_q: 0.141299, mean_eps: 0.920719
   53631/1200000: episode: 78, duration: 9.026s, episode steps: 524, steps per second:  58, episode reward:  7.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.565 [0.000, 5.000],  loss: 0.006381, mae: 0.108382, mean_q: 0.144044, mean_eps: 0.919948
   54332/1200000: episode: 79, duration: 11.676s, episode steps: 701, steps per second:  60, episode reward: 12.000, mean reward:  0.017 [ 0.000,  1.000], mean action: 2.524 [0.000, 5.000],  loss: 0.005851, mae: 0.107079, mean_q: 0.142650, mean_eps: 0.919030
   54961/1200000: episode: 80, duration: 10.401s, episode steps: 629, steps per second:  60, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.510 [0.000, 5.000],  loss: 0.004505, mae: 0.104621, mean_q: 0.140434, mean_eps: 0.918031
   55644/1200000: episode: 81, duration: 11.442s, episode steps: 683, steps per second:  60, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.518 [0.000, 5.000],  loss: 0.007068, mae: 0.110881, mean_q: 0.150771, mean_eps: 0.917047
   56356/1200000: episode: 82, duration: 11.889s, episode steps: 712, steps per second:  60, episode reward:  9.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.448 [0.000, 5.000],  loss: 0.007238, mae: 0.110046, mean_q: 0.148429, mean_eps: 0.916003
   57498/1200000: episode: 83, duration: 19.625s, episode steps: 1142, steps per second:  58, episode reward: 13.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.431 [0.000, 5.000],  loss: 0.006384, mae: 0.111264, mean_q: 0.151360, mean_eps: 0.914611
   58121/1200000: episode: 84, duration: 11.147s, episode steps: 623, steps per second:  56, episode reward:  8.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.401 [0.000, 5.000],  loss: 0.006430, mae: 0.109582, mean_q: 0.150716, mean_eps: 0.913285
   58891/1200000: episode: 85, duration: 13.438s, episode steps: 770, steps per second:  57, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.551 [0.000, 5.000],  loss: 0.005425, mae: 0.107576, mean_q: 0.145254, mean_eps: 0.912241
   59645/1200000: episode: 86, duration: 13.880s, episode steps: 754, steps per second:  54, episode reward: 10.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.359 [0.000, 5.000],  loss: 0.006642, mae: 0.109173, mean_q: 0.149373, mean_eps: 0.911098
   60787/1200000: episode: 87, duration: 20.931s, episode steps: 1142, steps per second:  55, episode reward: 14.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.505 [0.000, 5.000],  loss: 0.006772, mae: 0.126110, mean_q: 0.169427, mean_eps: 0.909676
   61509/1200000: episode: 88, duration: 13.093s, episode steps: 722, steps per second:  55, episode reward: 10.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.507 [0.000, 5.000],  loss: 0.006051, mae: 0.133767, mean_q: 0.174500, mean_eps: 0.908278
   61898/1200000: episode: 89, duration: 6.719s, episode steps: 389, steps per second:  58, episode reward:  4.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.455 [0.000, 5.000],  loss: 0.005406, mae: 0.129335, mean_q: 0.167444, mean_eps: 0.907444
   62695/1200000: episode: 90, duration: 14.118s, episode steps: 797, steps per second:  56, episode reward:  9.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.454 [0.000, 5.000],  loss: 0.006882, mae: 0.134673, mean_q: 0.174866, mean_eps: 0.906556
   64127/1200000: episode: 91, duration: 25.317s, episode steps: 1432, steps per second:  57, episode reward: 15.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.469 [0.000, 5.000],  loss: 0.006393, mae: 0.133890, mean_q: 0.174846, mean_eps: 0.904885
   65490/1200000: episode: 92, duration: 23.709s, episode steps: 1363, steps per second:  57, episode reward: 14.000, mean reward:  0.010 [ 0.000,  1.000], mean action: 2.432 [0.000, 5.000],  loss: 0.005718, mae: 0.131988, mean_q: 0.173273, mean_eps: 0.902788
   66714/1200000: episode: 93, duration: 23.468s, episode steps: 1224, steps per second:  52, episode reward: 15.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.389 [0.000, 5.000],  loss: 0.005585, mae: 0.131325, mean_q: 0.173221, mean_eps: 0.900847
   67357/1200000: episode: 94, duration: 12.516s, episode steps: 643, steps per second:  51, episode reward:  6.000, mean reward:  0.009 [ 0.000,  1.000], mean action: 2.554 [0.000, 5.000],  loss: 0.004728, mae: 0.130261, mean_q: 0.171477, mean_eps: 0.899446
   67796/1200000: episode: 95, duration: 7.925s, episode steps: 439, steps per second:  55, episode reward:  7.000, mean reward:  0.016 [ 0.000,  1.000], mean action: 2.474 [0.000, 5.000],  loss: 0.005374, mae: 0.130682, mean_q: 0.171356, mean_eps: 0.898636
   68417/1200000: episode: 96, duration: 11.231s, episode steps: 621, steps per second:  55, episode reward:  7.000, mean reward:  0.011 [ 0.000,  1.000], mean action: 2.601 [0.000, 5.000],  loss: 0.006314, mae: 0.132512, mean_q: 0.172837, mean_eps: 0.897841
   69310/1200000: episode: 97, duration: 16.238s, episode steps: 893, steps per second:  55, episode reward: 13.000, mean reward:  0.015 [ 0.000,  1.000], mean action: 2.541 [0.000, 5.000],  loss: 0.006063, mae: 0.133804, mean_q: 0.177939, mean_eps: 0.896704
   70093/1200000: episode: 98, duration: 14.317s, episode steps: 783, steps per second:  55, episode reward: 14.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.575 [0.000, 5.000],  loss: 0.006624, mae: 0.138620, mean_q: 0.184939, mean_eps: 0.895447
   70492/1200000: episode: 99, duration: 7.300s, episode steps: 399, steps per second:  55, episode reward:  7.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.363 [0.000, 5.000],  loss: 0.006046, mae: 0.163542, mean_q: 0.214521, mean_eps: 0.894562
   71415/1200000: episode: 100, duration: 15.409s, episode steps: 923, steps per second:  60, episode reward: 17.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.431 [0.000, 5.000],  loss: 0.006800, mae: 0.166752, mean_q: 0.218098, mean_eps: 0.893572
   71918/1200000: episode: 101, duration: 8.094s, episode steps: 503, steps per second:  62, episode reward:  7.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.517 [0.000, 5.000],  loss: 0.007653, mae: 0.171401, mean_q: 0.223023, mean_eps: 0.892501
   73124/1200000: episode: 102, duration: 20.804s, episode steps: 1206, steps per second:  58, episode reward: 22.000, mean reward:  0.018 [ 0.000,  1.000], mean action: 2.399 [0.000, 5.000],  loss: 0.006737, mae: 0.165409, mean_q: 0.215171, mean_eps: 0.891220
   73788/1200000: episode: 103, duration: 12.318s, episode steps: 664, steps per second:  54, episode reward:  9.000, mean reward:  0.014 [ 0.000,  1.000], mean action: 2.422 [0.000, 5.000],  loss: 0.006381, mae: 0.166492, mean_q: 0.216588, mean_eps: 0.889819
   74706/1200000: episode: 104, duration: 15.586s, episode steps: 918, steps per second:  59, episode reward: 12.000, mean reward:  0.013 [ 0.000,  1.000], mean action: 2.499 [0.000, 5.000],  loss: 0.006312, mae: 0.164615, mean_q: 0.214857, mean_eps: 0.888631
   75428/1200000: episode: 105, duration: 12.561s, episode steps: 722, steps per second:  57, episode reward:  9.000, mean reward:  0.012 [ 0.000,  1.000], mean action: 2.486 [0.000, 5.000],  loss: 0.006435, mae: 0.166508, mean_q: 0.216698, mean_eps: 0.887401
